District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Pilibhit (20),303726,109421,36.03%,6844,2.25%,3091,1.02%,307,0.1%,6760,2.23%,3432,1.13%,3660,1.21%,242527,79.85%,46289,15.24%,14910,4.91%,6414,2.11%,48709,16.04%,43282,14.25%,315,0.1%,5103,1.68,9,0%,13598,4.48%,1530,0.5%,250963,82.63%,1323,0.44%,49910,16.43%,21031,6.92%,27295,8.99%,24582,8.09%,171521,56.47%,33511,11.03%,71937,23.68%,2381,0.78%,142,0.05%,09
Shahjahanpur (21),405601,160045,39.46%,7200,1.78%,3751,0.92%,504,0.12%,7279,1.79%,2122,0.52%,2607,0.64%,328796,81.06%,57961,14.29%,18844,4.65%,6454,1.59%,78509,19.36%,71350,17.59%,1126,0.28%,5992,1.48,41,0.01%,13214,3.26%,2491,0.61%,341621,84.23%,3184,0.79%,58305,14.37%,25750,6.35%,29450,7.26%,65980,16.27%,182653,45.03%,33544,8.27%,90006,22.19%,5490,1.35%,1680,0.41%,09
Kheri (22),640850,240949,37.6%,5900,0.92%,8088,1.26%,1021,0.16%,12252,1.91%,1543,0.24%,1625,0.25%,526854,82.21%,83244,12.99%,30752,4.8%,10937,1.71%,130789,20.41%,112618,17.57%,1005,0.16%,17151,2.68,15,0%,27057,4.22%,1473,0.23%,489170,76.33%,5223,0.82%,144984,22.62%,43610,6.81%,61647,9.62%,132245,20.64%,324170,50.58%,88156,13.76%,125281,19.55%,4464,0.7%,879,0.14%,09
Sitapur (23),714977,202130,28.27%,7821,1.09%,10598,1.48%,1172,0.16%,15756,2.2%,1949,0.27%,2014,0.28%,601595,84.14%,83940,11.74%,29442,4.12%,14247,1.99%,114086,15.96%,99507,13.92%,1547,0.22%,13011,1.82,21,0%,19798,2.77%,1574,0.22%,539390,75.44%,4067,0.57%,169946,23.77%,41137,5.75%,33604,4.7%,104655,14.64%,424618,59.39%,91545,12.8%,153991,21.54%,7315,1.02%,908,0.13%,09
Hardoi (24),617677,136239,22.06%,5982,0.97%,10435,1.69%,718,0.12%,13781,2.23%,1924,0.31%,2974,0.48%,513604,83.15%,76845,12.44%,27228,4.41%,12230,1.98%,164817,26.68%,141422,22.9%,3794,0.61%,16596,2.69,3005,0.49%,26076,4.22%,2923,0.47%,532349,86.19%,5615,0.91%,76790,12.43%,37994,6.15%,47742,7.73%,129574,20.98%,351936,56.98%,111967,18.13%,109155,17.67%,8846,1.43%,3225,0.52%,09
Unnao (25),481545,131552,27.32%,6134,1.27%,9752,2.03%,798,0.17%,12716,2.64%,5890,1.22%,3302,0.69%,396338,82.31%,64082,13.31%,21124,4.39%,12007,2.49%,82577,17.15%,75130,15.6%,1347,0.28%,6061,1.26,39,0.01%,18241,3.79%,1317,0.27%,410024,85.15%,3745,0.78%,66458,13.8%,20992,4.36%,24121,5.01%,67566,14.03%,271967,56.48%,51451,10.68%,89930,18.68%,4260,0.88%,725,0.15%,09
Lucknow (26),278203,85542,30.75%,5498,1.98%,9979,3.59%,519,0.19%,15221,5.47%,2487,0.89%,7314,2.63%,219704,78.97%,37992,13.66%,20507,7.37%,14761,5.31%,73546,26.44%,66757,24%,712,0.26%,6061,2.18,16,0.01%,33117,11.9%,633,0.23%,225769,81.15%,1954,0.7%,49847,17.92%,10623,3.82%,9530,3.43%,52515,18.88%,146485,52.65%,35461,12.75%,37937,13.64%,1528,0.55%,281,0.1%,09
Rae Bareli (27),569800,183191,32.15%,8511,1.49%,16739,2.94%,1500,0.26%,23282,4.09%,7916,1.39%,5121,0.9%,435045,76.35%,96253,16.89%,38502,6.76%,22160,3.89%,108372,19.02%,99612,17.48%,882,0.15%,7765,1.36,113,0.02%,29720,5.22%,1656,0.29%,494323,86.75%,5136,0.9%,68685,12.05%,19147,3.36%,23231,4.08%,85579,15.02%,322015,56.51%,56902,9.99%,71868,12.61%,1781,0.31%,381,0.07%,09
Farrukhabad (28),249331,81315,32.61%,3193,1.28%,5275,2.12%,366,0.15%,10317,4.14%,1246,0.5%,5763,2.31%,189488,76%,42252,16.95%,17591,7.06%,9706,3.89%,44929,18.02%,38561,15.47%,535,0.21%,5408,2.17,425,0.17%,13109,5.26%,637,0.26%,218308,87.56%,1990,0.8%,28394,11.39%,15099,6.06%,21978,8.81%,34174,13.71%,126260,50.64%,28981,11.62%,50542,20.27%,1201,0.48%,618,0.25%,09
Kannauj (29),237103,52206,22.02%,2964,1.25%,5730,2.42%,583,0.25%,9663,4.08%,1082,0.46%,1931,0.81%,184107,77.65%,38266,16.14%,14730,6.21%,8984,3.79%,42922,18.1%,36688,15.47%,457,0.19%,5524,2.33,253,0.11%,13328,5.62%,366,0.15%,201484,84.98%,1412,0.6%,33841,14.27%,10559,4.45%,24300,10.25%,38897,16.41%,151997,64.11%,47623,20.09%,41585,17.54%,688,0.29%,551,0.23%,09
Etawah (30),213944,50088,23.41%,19414,9.07%,6695,3.13%,299,0.14%,11636,5.44%,3886,1.82%,8608,4.02%,170556,79.72%,28894,13.51%,14489,6.77%,10925,5.11%,39088,18.27%,35285,16.49%,379,0.18%,3231,1.51,193,0.09%,18857,8.81%,1619,0.76%,183645,85.84%,1555,0.73%,27120,12.68%,7923,3.7%,13905,6.5%,96579,45.14%,128204,59.92%,25380,11.86%,24240,11.33%,2442,1.14%,332,0.16%,09
Auraiya (31),209864,57188,27.25%,10494,5%,6324,3.01%,424,0.2%,8047,3.83%,2052,0.98%,7485,3.57%,165257,78.74%,32545,15.51%,12062,5.75%,7473,3.56%,37287,17.77%,32459,15.47%,934,0.45%,3346,1.59,548,0.26%,13967,6.66%,2035,0.97%,181207,86.34%,3082,1.47%,23540,11.22%,9333,4.45%,10004,4.77%,59326,28.27%,105187,50.12%,44767,21.33%,19560,9.32%,1842,0.88%,922,0.44%,09
Kanpur Dehat (32),310765,115740,37.24%,4457,1.43%,8165,2.63%,662,0.21%,13380,4.31%,2799,0.9%,5665,1.82%,244504,78.68%,46858,15.08%,19403,6.24%,12585,4.05%,58560,18.84%,49801,16.03%,1030,0.33%,7157,2.3,572,0.18%,19545,6.29%,915,0.29%,270299,86.98%,2887,0.93%,36664,11.8%,12020,3.87%,19709,6.34%,55551,17.88%,138710,44.64%,51266,16.5%,31490,10.13%,1936,0.62%,1454,0.47%,09
Kanpur Nagar (33),289213,91420,31.61%,7295,2.52%,6986,2.42%,471,0.16%,9361,3.24%,4358,1.51%,18920,6.54%,231471,80.03%,41712,14.42%,16030,5.54%,8829,3.05%,63324,21.9%,58524,20.24%,784,0.27%,3374,1.17,642,0.22%,21442,7.41%,2053,0.71%,241927,83.65%,1922,0.66%,43311,14.98%,11148,3.85%,16258,5.62%,80447,27.82%,96282,33.29%,24113,8.34%,29299,10.13%,7429,2.57%,2009,0.69%,09
Jalaun (34),211977,54034,25.49%,8436,3.98%,5485,2.59%,229,0.11%,7153,3.37%,2564,1.21%,3102,1.46%,162821,76.81%,34937,16.48%,14219,6.71%,6591,3.11%,49079,23.15%,42578,20.09%,656,0.31%,5543,2.61,302,0.14%,19020,8.97%,1837,0.87%,195476,92.22%,1215,0.57%,13449,6.34%,20347,9.6%,25740,12.14%,109755,51.78%,116188,54.81%,36656,17.29%,27621,13.03%,1375,0.65%,820,0.39%,09
Jhansi (35),212906,43039,20.22%,7689,3.61%,6042,2.84%,352,0.17%,7373,3.46%,735,0.35%,2845,1.34%,171763,80.68%,28837,13.54%,12306,5.78%,6853,3.22%,48240,22.66%,41211,19.36%,816,0.38%,5902,2.77,311,0.15%,18391,8.64%,1254,0.59%,193900,91.07%,1649,0.77%,16103,7.56%,25289,11.88%,52123,24.48%,120720,56.7%,115052,54.04%,57182,26.86%,47117,22.13%,2064,0.97%,1436,0.67%,09
Lalitpur (36),186311,26194,14.06%,4632,2.49%,2610,1.4%,125,0.07%,3875,2.08%,275,0.15%,1004,0.54%,159849,85.8%,18750,10.06%,7712,4.14%,3428,1.84%,57114,30.66%,53040,28.47%,665,0.36%,3203,1.72,206,0.11%,6041,3.24%,1741,0.93%,158231,84.93%,858,0.46%,25481,13.68%,20772,11.15%,46298,24.85%,98471,52.85%,128232,68.83%,45899,24.64%,61009,32.75%,1549,0.83%,1201,0.64%,09
Hamirpur (37),174857,57265,32.75%,1623,0.93%,4319,2.47%,260,0.15%,6569,3.76%,955,0.55%,570,0.33%,142235,81.34%,23604,13.5%,9018,5.16%,5895,3.37%,27858,15.93%,20630,11.8%,646,0.37%,6185,3.54,397,0.23%,9110,5.21%,312,0.18%,156629,89.58%,1396,0.8%,16520,9.45%,8605,4.92%,22713,12.99%,70591,40.37%,60864,34.81%,47289,27.04%,14620,8.36%,438,0.25%,547,0.31%,09
Mahoba (38),127389,33118,26%,1957,1.54%,2664,2.09%,186,0.15%,3687,2.89%,291,0.23%,576,0.45%,104171,81.77%,17200,13.5%,6018,4.72%,3225,2.53%,22526,17.68%,16098,12.64%,567,0.45%,5681,4.46,180,0.14%,4912,3.86%,151,0.12%,113441,89.05%,540,0.42%,13257,10.41%,8977,7.05%,21128,16.59%,61229,48.06%,39730,31.19%,30783,24.16%,28255,22.18%,484,0.38%,243,0.19%,09
Banda (39),269240,109569,40.7%,4133,1.54%,5213,1.94%,536,0.2%,6862,2.55%,1129,0.42%,1375,0.51%,221846,82.4%,36386,13.51%,11008,4.09%,6004,2.23%,51758,19.22%,45210,16.79%,1859,0.69%,3309,1.23,1380,0.51%,8194,3.04%,1903,0.71%,233724,86.81%,2977,1.11%,30636,11.38%,9678,3.59%,21082,7.83%,81406,30.24%,64100,23.81%,42602,15.82%,16196,6.02%,1988,0.74%,2280,0.85%,09
Chitrakoot (40),152132,50530,33.21%,1091,0.72%,3329,2.19%,343,0.23%,6149,4.04%,574,0.38%,575,0.38%,122498,80.52%,18474,12.14%,11160,7.34%,5639,3.71%,19626,12.9%,15992,10.51%,334,0.22%,3093,2.03,207,0.14%,5578,3.67%,229,0.15%,127296,83.67%,721,0.47%,23886,15.7%,4608,3.03%,9557,6.28%,60357,39.67%,57138,37.56%,37598,24.71%,10424,6.85%,322,0.21%,585,0.38%,09
Fatehpur (41),415053,155182,37.39%,5363,1.29%,7049,1.7%,799,0.19%,14070,3.39%,4523,1.09%,5034,1.21%,317460,76.49%,72519,17.47%,25074,6.04%,13215,3.18%,68482,16.5%,65123,15.69%,306,0.07%,2841,0.68,212,0.05%,14758,3.56%,1174,0.28%,351414,84.67%,3094,0.75%,59371,14.3%,13670,3.29%,18513,4.46%,52605,12.67%,197947,47.69%,32543,7.84%,35740,8.61%,2600,0.63%,987,0.24%,09
Pratapgarh (42),494720,125540,25.38%,7074,1.43%,18710,3.78%,986,0.2%,30410,6.15%,11331,2.29%,17548,3.55%,319902,64.66%,119568,24.17%,55250,11.17%,29435,5.95%,128486,25.97%,115913,23.43%,1639,0.33%,10342,2.09,592,0.12%,23630,4.78%,1727,0.35%,452043,91.37%,4192,0.85%,36758,7.43%,17053,3.45%,15983,3.23%,96305,19.47%,302487,61.14%,71501,14.45%,60636,12.26%,1257,0.25%,685,0.14%,09
Kaushambi (43),255994,94267,36.82%,6102,2.38%,6026,2.35%,469,0.18%,8978,3.51%,2164,0.85%,6614,2.58%,207267,80.97%,35072,13.7%,13655,5.33%,8531,3.33%,42915,16.76%,39363,15.38%,619,0.24%,2525,0.99,408,0.16%,11410,4.46%,1987,0.78%,222978,87.1%,1307,0.51%,29722,11.61%,6078,2.37%,7089,2.77%,46316,18.09%,81999,32.03%,20140,7.87%,9480,3.7%,1188,0.46%,854,0.33%,09
Allahabad (44),705588,256507,36.35%,15077,2.14%,27279,3.87%,1239,0.18%,41663,5.9%,11357,1.61%,19305,2.74%,454488,64.41%,170903,24.22%,80197,11.37%,39594,5.61%,219897,31.17%,191365,27.12%,4975,0.71%,17450,2.47,6107,0.87%,49599,7.03%,4214,0.6%,613819,86.99%,8853,1.25%,78702,11.15%,43847,6.21%,27390,3.88%,146254,20.73%,301974,42.8%,120174,17.03%,77272,10.95%,9312,1.32%,5512,0.78%,09
Bara Banki (45),533550,157519,29.52%,6559,1.23%,10292,1.93%,1081,0.2%,16757,3.14%,2935,0.55%,4119,0.77%,416086,77.98%,84286,15.8%,33178,6.22%,15800,2.96%,120369,22.56%,107101,20.07%,1038,0.19%,12172,2.28,58,0.01%,26490,4.96%,975,0.18%,437947,82.08%,3914,0.73%,90714,17%,37368,7%,50211,9.41%,76396,14.32%,298452,55.94%,63502,11.9%,138325,25.93%,5574,1.04%,1163,0.22%,09
Faizabad (46),377144,96240,25.52%,6632,1.76%,14737,3.91%,697,0.18%,24604,6.52%,8119,2.15%,6668,1.77%,261161,69.25%,79784,21.15%,36199,9.6%,24068,6.38%,71560,18.97%,62370,16.54%,722,0.19%,8459,2.24,9,0%,21574,5.72%,600,0.16%,327757,86.91%,2991,0.79%,45796,12.14%,17142,4.55%,16089,4.27%,46929,12.44%,240423,63.75%,36676,9.72%,74726,19.81%,1424,0.38%,233,0.06%,09
Ambedkar Nagar (47),322410,67836,21.04%,7108,2.2%,15316,4.75%,412,0.13%,19829,6.15%,4434,1.38%,4129,1.28%,216522,67.16%,74270,23.04%,31618,9.81%,19316,5.99%,76094,23.6%,64922,20.14%,1131,0.35%,10031,3.11,10,0%,16648,5.16%,777,0.24%,297965,92.42%,4084,1.27%,19584,6.07%,24180,7.5%,18200,5.64%,59054,18.32%,225903,70.07%,44833,13.91%,70017,21.72%,2179,0.68%,699,0.22%,09
Sultanpur (48),563089,166526,29.57%,12826,2.28%,18373,3.26%,1224,0.22%,29605,5.26%,11293,2.01%,20547,3.65%,376978,66.95%,127209,22.59%,58902,10.46%,28210,5.01%,126346,22.44%,107564,19.1%,2973,0.53%,14530,2.58,1279,0.23%,30263,5.37%,2248,0.4%,498962,88.61%,7310,1.3%,54569,9.69%,26706,4.74%,28057,4.98%,138555,24.61%,306474,54.43%,89613,15.91%,69803,12.4%,2983,0.53%,1206,0.21%,09
Bahraich (49),541484,134002,24.75%,15903,2.94%,4826,0.89%,682,0.13%,7823,1.44%,6232,1.15%,5898,1.09%,469187,86.65%,52801,9.75%,19496,3.6%,6805,1.26%,64421,11.9%,58587,10.82%,1570,0.29%,4173,0.77,91,0.02%,14819,2.74%,9633,1.78%,410506,75.81%,3268,0.6%,118077,21.81%,21932,4.05%,22947,4.24%,152290,28.12%,256519,47.37%,49206,9.09%,56288,10.4%,6038,1.12%,2768,0.51%,09
Shrawasti (50),179481,41557,23.15%,3723,2.07%,2371,1.32%,496,0.28%,3570,1.99%,516,0.29%,634,0.35%,138019,76.9%,30186,16.82%,11276,6.28%,3254,1.81%,25703,14.32%,22425,12.49%,433,0.24%,2822,1.57,23,0.01%,6936,3.86%,513,0.29%,134428,74.9%,1580,0.88%,42960,23.94%,14082,7.85%,10290,5.73%,50927,28.37%,103890,57.88%,36618,20.4%,41223,22.97%,1271,0.71%,344,0.19%,09
Balrampur (51),293520,98534,33.57%,6183,2.11%,3696,1.26%,782,0.27%,5793,1.97%,1698,0.58%,4291,1.46%,208424,71.01%,63450,21.62%,21646,7.37%,5481,1.87%,63180,21.52%,54850,18.69%,927,0.32%,7398,2.52,5,0%,10707,3.65%,648,0.22%,248357,84.61%,2655,0.9%,41860,14.26%,25404,8.65%,11822,4.03%,87416,29.78%,132310,45.08%,42612,14.52%,52741,17.97%,2051,0.7%,606,0.21%,09
Gonda (52),523254,111796,21.37%,7772,1.49%,13070,2.5%,999,0.19%,22170,4.24%,4252,0.81%,5038,0.96%,377481,72.14%,103110,19.71%,42662,8.15%,20946,4%,101620,19.42%,87392,16.7%,1224,0.23%,12979,2.48,25,0%,25166,4.81%,779,0.15%,450140,86.03%,5111,0.98%,67223,12.85%,41362,7.9%,35107,6.71%,98303,18.79%,355012,67.85%,66530,12.71%,137266,26.23%,3514,0.67%,742,0.14%,09
Siddharthnagar (53),382311,92926,24.31%,3262,0.85%,5607,1.47%,759,0.2%,10919,2.86%,2274,0.59%,2321,0.61%,278908,72.95%,75175,19.66%,28226,7.38%,10079,2.64%,78325,20.49%,68751,17.98%,1190,0.31%,8380,2.19,4,0%,14246,3.73%,1394,0.36%,342939,89.7%,2325,0.61%,35651,9.33%,29981,7.84%,13362,3.5%,74776,19.56%,242341,63.39%,32746,8.57%,69029,18.06%,1784,0.47%,359,0.09%,09
Basti (54),385828,90780,23.53%,6873,1.78%,14278,3.7%,743,0.19%,20629,5.35%,6224,1.61%,7098,1.84%,272581,70.65%,77619,20.12%,35628,9.23%,19734,5.11%,78187,20.26%,66968,17.36%,1124,0.29%,10085,2.61,10,0%,17633,4.57%,994,0.26%,346646,89.84%,2899,0.75%,35289,9.15%,34187,8.86%,19075,4.94%,77455,20.08%,255012,66.09%,46458,12.04%,86885,22.52%,2184,0.57%,466,0.12%,09
Sant Kabir Nagar (55),243670,66121,27.14%,9430,3.87%,6360,2.61%,372,0.15%,10331,4.24%,3544,1.45%,5858,2.4%,181573,74.52%,44952,18.45%,17145,7.04%,9766,4.01%,44314,18.19%,39607,16.25%,699,0.29%,3997,1.64,11,0%,10444,4.29%,1621,0.67%,224183,92%,1625,0.67%,16241,6.67%,16358,6.71%,8395,3.45%,59862,24.57%,139176,57.12%,28134,11.55%,38225,15.69%,3837,1.57%,380,0.16%,09
Mahrajganj (56),407828,59539,14.6%,4145,1.02%,8424,2.07%,999,0.24%,13717,3.36%,1866,0.46%,2350,0.58%,304893,74.76%,75984,18.63%,26951,6.61%,13029,3.19%,63167,15.49%,53481,13.11%,959,0.24%,8725,2.14,2,0%,14827,3.64%,572,0.14%,348032,85.34%,2918,0.72%,56306,13.81%,26267,6.44%,19512,4.78%,66373,16.27%,325370,79.78%,35414,8.68%,71580,17.55%,864,0.21%,416,0.1%,09
Gorakhpur (57),599152,224441,37.46%,15127,2.52%,22533,3.76%,1597,0.27%,36330,6.06%,9383,1.57%,12100,2.02%,397810,66.4%,137130,22.89%,64212,10.72%,35330,5.9%,108931,18.18%,97165,16.22%,2264,0.38%,9493,1.58,9,0%,30979,5.17%,1610,0.27%,527487,88.04%,5481,0.91%,64574,10.78%,32678,5.45%,16150,2.7%,130708,21.82%,287292,47.95%,56671,9.46%,73230,12.22%,4829,0.81%,734,0.12%,09
Kushinagar (58),574969,113240,19.69%,7131,1.24%,12330,2.14%,1336,0.23%,19801,3.44%,8839,1.54%,7239,1.26%,393493,68.44%,134685,23.42%,46791,8.14%,19209,3.34%,78967,13.73%,67899,11.81%,1111,0.19%,9935,1.73,22,0%,17415,3.03%,726,0.13%,510591,88.8%,4119,0.72%,59533,10.35%,20005,3.48%,16351,2.84%,98970,17.21%,414621,72.11%,60396,10.5%,44182,7.68%,1349,0.23%,366,0.06%,09
Deoria (59),450667,70417,15.63%,25508,5.66%,21589,4.79%,1001,0.22%,33440,7.42%,17007,3.77%,73005,16.2%,273135,60.61%,120094,26.65%,57438,12.75%,32274,7.16%,82495,18.31%,75422,16.74%,1315,0.29%,5747,1.28,11,0%,22344,4.96%,3316,0.74%,413620,91.78%,2091,0.46%,31640,7.02%,22553,5%,14580,3.24%,163988,36.39%,314895,69.87%,66234,14.7%,59234,13.14%,4002,0.89%,391,0.09%,09
Azamgarh (60),615199,52952,8.61%,20543,3.34%,16812,2.73%,1007,0.16%,22165,3.6%,25323,4.12%,55308,8.99%,381358,61.99%,158634,25.79%,61955,10.07%,20307,3.3%,249749,40.6%,233982,38.03%,5911,0.96%,8457,1.37,1399,0.23%,65180,10.59%,13138,2.14%,573024,93.14%,12526,2.04%,16312,2.65%,34810,5.66%,45699,7.43%,63389,10.3%,432460,70.3%,35029,5.69%,131957,21.45%,7934,1.29%,2769,0.45%,09
Mau (61),262251,68588,26.15%,4094,1.56%,11875,4.53%,791,0.3%,17640,6.73%,6012,2.29%,7884,3.01%,172015,65.59%,57051,21.75%,33185,12.65%,16906,6.45%,59939,22.86%,51973,19.82%,1174,0.45%,5765,2.2,1027,0.39%,14851,5.66%,1578,0.6%,237941,90.73%,3832,1.46%,18900,7.21%,8798,3.35%,10652,4.06%,67671,25.8%,148495,56.62%,44107,16.82%,30086,11.47%,1302,0.5%,844,0.32%,09
Ballia (62),426709,186817,43.78%,5941,1.39%,22690,5.32%,896,0.21%,42233,9.9%,13499,3.16%,7266,1.7%,287606,67.4%,85844,20.12%,53259,12.48%,40684,9.53%,71738,16.81%,63567,14.9%,949,0.22%,6471,1.52,751,0.18%,18360,4.3%,810,0.19%,380451,89.16%,3762,0.88%,41686,9.77%,12611,2.96%,18723,4.39%,84720,19.85%,172967,40.54%,43474,10.19%,41425,9.71%,1412,0.33%,911,0.21%,09
Jaunpur (63),596098,122171,20.5%,23766,3.99%,22009,3.69%,857,0.14%,30917,5.19%,16528,2.77%,46454,7.79%,370315,62.12%,157911,26.49%,67871,11.39%,29269,4.91%,173802,29.16%,161869,27.15%,2014,0.34%,9172,1.54,747,0.13%,42227,7.08%,7074,1.19%,555889,93.25%,7949,1.33%,25185,4.22%,36119,6.06%,44108,7.4%,197030,33.05%,341170,57.23%,83400,13.99%,129017,21.64%,7084,1.19%,2482,0.42%,09
Ghazipur (64),476147,102224,21.47%,12058,2.53%,18926,3.97%,621,0.13%,35977,7.56%,10614,2.23%,11818,2.48%,322813,67.8%,98038,20.59%,55278,11.61%,34630,7.27%,136296,28.62%,124832,26.22%,1973,0.41%,6619,1.39,2872,0.6%,27062,5.68%,5054,1.06%,427405,89.76%,7345,1.54%,36341,7.63%,24300,5.1%,27979,5.88%,74767,15.7%,260217,54.65%,49881,10.48%,51106,10.73%,4394,0.92%,2070,0.43%,09
Chandauli (65),265851,140282,52.77%,3432,1.29%,8427,3.17%,330,0.12%,15345,5.77%,2498,0.94%,2610,0.98%,199623,75.09%,44591,16.77%,21637,8.14%,14591,5.49%,53432,20.1%,46291,17.41%,1926,0.72%,4338,1.63,877,0.33%,11078,4.17%,1369,0.51%,235293,88.51%,3812,1.43%,25377,9.55%,10466,3.94%,8282,3.12%,31577,11.88%,89478,33.66%,20703,7.79%,17545,6.6%,1874,0.7%,776,0.29%,09
Varanasi (66),343657,133959,38.98%,9506,2.77%,17306,5.04%,583,0.17%,26811,7.8%,7855,2.29%,13701,3.99%,221618,64.49%,80255,23.35%,41784,12.16%,25773,7.5%,109607,31.89%,100002,29.1%,1771,0.52%,7271,2.12,563,0.16%,37408,10.89%,1225,0.36%,308410,89.74%,5015,1.46%,29007,8.44%,12586,3.66%,8591,2.5%,70269,20.45%,135069,39.3%,49166,14.31%,27547,8.02%,3505,1.02%,1386,0.4%,09
Sant Ravidas Nagar (Bhadohi) (67),191630,76004,39.66%,5141,2.68%,4625,2.41%,515,0.27%,6484,3.38%,7813,4.08%,8872,4.63%,128224,66.91%,44532,23.24%,18874,9.85%,6140,3.2%,45272,23.62%,39070,20.39%,1117,0.58%,4494,2.35,591,0.31%,11831,6.17%,612,0.32%,168197,87.77%,3881,2.03%,18940,9.88%,7825,4.08%,5675,2.96%,33840,17.66%,50175,26.18%,19516,10.18%,14840,7.74%,1524,0.8%,767,0.4%,09
Mirzapur (68),340748,159813,46.9%,5897,1.73%,11845,3.48%,573,0.17%,17250,5.06%,3857,1.13%,4504,1.32%,257339,75.52%,56745,16.65%,26661,7.82%,15979,4.69%,75727,22.22%,63834,18.73%,1587,0.47%,9245,2.71,1061,0.31%,20503,6.02%,2096,0.62%,294706,86.49%,4534,1.33%,39409,11.57%,19303,5.66%,15649,4.59%,65077,19.1%,107043,31.41%,40414,11.86%,34947,10.26%,3818,1.12%,1810,0.53%,09
Sonbhadra (69),288433,119256,41.35%,2724,0.94%,4877,1.69%,482,0.17%,8844,3.07%,3877,1.34%,3375,1.17%,234074,81.15%,41520,14.4%,12834,4.45%,8050,2.79%,62585,21.7%,53901,18.69%,1283,0.44%,6919,2.4,482,0.17%,13277,4.6%,856,0.3%,211602,73.36%,4475,1.55%,71495,24.79%,20947,7.26%,10914,3.78%,93773,32.51%,83632,29%,41599,14.42%,28296,9.81%,1731,0.6%,930,0.32%,09
Etah (70),241868,55311,22.87%,4076,1.69%,5894,2.44%,260,0.11%,11768,4.87%,2290,0.95%,2562,1.06%,181350,74.98%,40550,16.77%,19968,8.26%,11216,4.64%,59898,24.76%,53907,22.29%,538,0.22%,5452,2.25,1,0%,12184,5.04%,429,0.18%,211691,87.52%,1867,0.77%,27881,11.53%,16647,6.88%,18659,7.71%,78163,32.32%,165209,68.31%,39210,16.21%,57482,23.77%,1429,0.59%,319,0.13%,09
Kanshiram Nagar (71),191433,47733,24.93%,1416,0.74%,2906,1.52%,179,0.09%,4893,2.56%,1238,0.65%,1983,1.04%,144298,75.38%,35912,18.76%,11223,5.86%,4712,2.46%,35610,18.6%,31774,16.6%,362,0.19%,3467,1.81,7,0%,6812,3.56%,360,0.19%,166085,86.76%,1296,0.68%,23692,12.38%,11015,5.75%,14385,7.51%,28083,14.67%,128459,67.1%,25602,13.37%,45464,23.75%,1422,0.74%,277,0.14%,09
All India Total,179787454,68974464,38.36%,4896989,2.72%,8220522,4.57%,669649,0.37%,8954112,4.98%,1992688,1.11%,6393717,3.56%,133985215,74.52%,30894589,17.18%,14828438,8.25%,8217474,4.57%,37231701,20.71%,31385132,17.46%,1001655,0.56%,4410112,2.45%,434802,0.24%,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,7369947,4.1%,6484625,3.61%,53215896,29.6%,45876785,25.52%,21390638,11.9%,17669303,9.83%,1595336,0.89%,702061,0.39%,10
State Total,17829066,9773733,54.82%,294134,1.65%,482346,2.71%,33792,0.19%,683429,3.83%,144601,0.81%,231831,1.3%,12667269,71.05%,3959714,22.21%,1196190,6.71%,633899,3.56%,2082670,11.68%,1751373,9.82%,56398,0.32%,197853,1.11%,77046,0.43%,456850,2.56%,109635,0.61%,14568830,81.71%,154305,0.87%,2993859,16.79%,444393,2.49%,422588,2.37%,3807743,21.36%,5023637,28.18%,2135599,11.98%,918035,5.15%,119749,0.67%,87888,0.49%,10
