District Name,Total Households,Landless households deriving major part of their income from manual casual labour,Landless households deriving major part of their income from manual casual labour %,Households with non-agricultural enterprises registered with government,Households with non-agricultural enterprises registered with government %,Households paying income tax / professional tax,Households paying income tax / professional tax %,Households with Destitutes/living on alms,Households with Destitutes/living on alms %,Households with salaried job in government,Households with salaried job in government %,Households with salaried job in Public,Households with salaried job in Public %,Households with salaried job in Private,Households with salaried job in Private %,Monthly income of highest earning household member is < 5000,Monthly income of highest earning household member is < 5000 %,Monthly income of highest earning household member is 5000 - 10000,Monthly income of highest earning household member is 5000 - 10000 %,Monthly income of highest earning household member is > 10000,Monthly income of highest earning household member is > 10000 %,Household with government job and reporting monthly highest income > 5000,Household with government job and reporting monthly highest income > 5000 %,Households having motorized two/three/four wheelers and fishing boats,Households having motorized two/three/four wheelers and fishing boats %,Households having 2 wheeler,Households having 2 wheeler %,Households having 3 wheeler,Households having 3 wheeler %,Households having 4 wheeler,Households having 4 wheeler %,Households having motorized fishing boat,Households having motorized fishing boat %,Households Own a refrigerator,Households Own a refrigerator %,Households Own a landline phone,Households Own a landline phone %,Households Owns mobile only,Households Owns mobile only %,Households Owns both landline and mobile,Households Owns both landline and mobile %,Household without any phone,Household without any phone %,Households owning mechanized three/four wheeler agricultural equipments,Households owning mechanized three/four wheeler agricultural equipments %,"Households having kisan credit card with the credit limit of Rs.50,000 and above","Households having kisan credit card with the credit limit of Rs.50,000 and above %",Total Households owning un-irrrigated land,Total Households owning un-irrrigated land %,Total Households owning irrrigated land,Total Households owning irrrigated land %,Total Households owning other land,Total Households owning other land %,Households with irrigation equipments,Households with irrigation equipments %,Household who have no land but have irrigation equipment,Household who have no land but have irrigation equipment %,Household which dont own land but have kissan credit card,Household which dont own land but have kissan credit card %,State_Code
Vaishali (18),629950,388925,61.74%,6677,1.06%,19601,3.11%,687,0.11%,28763,4.57%,4352,0.69%,6444,1.02%,453949,72.06%,128397,20.38%,47574,7.55%,27277,4.33%,69256,10.99%,60405,9.59%,1238,0.2%,6289,1,1324,0.21%,9346,1.48%,2465,0.39%,534349,84.82%,4020,0.64%,89098,14.14%,9099,1.44%,10199,1.62%,87485,13.89%,155065,24.62%,82297,13.06%,16897,2.68%,1607,0.26%,1755,0.28%,10
Samastipur (19),831029,441918,53.18%,13859,1.67%,24523,2.95%,1472,0.18%,36382,4.38%,4872,0.59%,15616,1.88%,574273,69.1%,201997,24.31%,54653,6.58%,34046,4.1%,74974,9.02%,64154,7.72%,1143,0.14%,7902,0.95,1775,0.21%,17047,2.05%,3052,0.37%,724283,87.15%,4498,0.54%,99188,11.94%,15000,1.8%,24992,3.01%,152948,18.4%,284036,34.18%,68179,8.2%,40798,4.91%,2575,0.31%,1767,0.21%,10
Begusarai (20),491437,320187,65.15%,6296,1.28%,12158,2.47%,956,0.19%,18986,3.86%,2228,0.45%,3906,0.79%,349739,71.17%,110379,22.46%,31317,6.37%,17899,3.64%,42943,8.74%,33624,6.84%,921,0.19%,7393,1.5,1005,0.2%,8932,1.82%,1640,0.33%,397389,80.86%,5068,1.03%,87339,17.77%,10366,2.11%,15678,3.19%,80622,16.41%,100419,20.43%,41280,8.4%,21089,4.29%,3519,0.72%,2171,0.44%,10
Khagaria (21),347924,236425,67.95%,4183,1.2%,8649,2.49%,541,0.16%,12133,3.49%,2100,0.6%,2037,0.59%,245558,70.58%,83382,23.97%,18955,5.45%,11137,3.2%,29869,8.58%,23829,6.85%,781,0.22%,3465,1,1794,0.52%,8545,2.46%,1622,0.47%,299453,86.07%,3764,1.08%,43083,12.38%,6921,1.99%,6466,1.86%,51344,14.76%,58084,16.69%,31144,8.95%,11615,3.34%,1921,0.55%,1853,0.53%,10
Bhagalpur (22),468355,293486,62.66%,7020,1.5%,14979,3.2%,573,0.12%,22817,4.87%,2366,0.51%,2926,0.62%,317870,67.87%,114311,24.41%,35076,7.49%,20773,4.44%,74457,15.9%,54020,11.53%,2230,0.48%,12862,2.75,5345,1.14%,14983,3.2%,1900,0.41%,395106,84.36%,5145,1.1%,66201,14.13%,7536,1.61%,7825,1.67%,91979,19.64%,79536,16.98%,56695,12.11%,16653,3.56%,3003,0.64%,2540,0.54%,10
Banka (23),384455,176274,45.85%,13027,3.39%,8729,2.27%,1411,0.37%,10545,2.74%,1456,0.38%,4399,1.14%,308133,80.15%,57080,14.85%,19242,5.01%,9512,2.47%,35113,9.13%,30210,7.86%,1111,0.29%,2804,0.73,988,0.26%,14488,3.77%,8302,2.16%,295620,76.89%,3767,0.98%,76766,19.97%,9641,2.51%,8802,2.29%,127243,33.1%,119415,31.06%,58803,15.3%,23546,6.12%,4952,1.29%,2669,0.69%,10
Munger (24),201233,134647,66.91%,2499,1.24%,13502,6.71%,209,0.1%,16767,8.33%,794,0.39%,819,0.41%,146942,73.02%,34562,17.18%,19729,9.8%,16168,8.03%,19124,9.5%,14915,7.41%,311,0.15%,2963,1.47,935,0.46%,5070,2.52%,437,0.22%,168142,83.56%,1043,0.52%,31611,15.71%,1741,0.87%,2718,1.35%,22367,11.11%,29248,14.53%,7639,3.8%,4977,2.47%,617,0.31%,875,0.43%,10
Lakhisarai (25),141284,81860,57.94%,3862,2.73%,4414,3.12%,129,0.09%,6057,4.29%,1134,0.8%,1278,0.9%,99427,70.37%,32582,23.06%,9275,6.56%,5603,3.97%,20496,14.51%,17344,12.28%,1583,1.12%,956,0.68,613,0.43%,2587,1.83%,1303,0.92%,118187,83.65%,1383,0.98%,20411,14.45%,4525,3.2%,2876,2.04%,28343,20.06%,26847,19%,15907,11.26%,7625,5.4%,2909,2.06%,1277,0.9%,10
Sheikhpura (26),91847,53381,58.12%,1717,1.87%,3064,3.34%,93,0.1%,4624,5.03%,311,0.34%,283,0.31%,63669,69.32%,20997,22.86%,7180,7.82%,4411,4.8%,7895,8.6%,6366,6.93%,169,0.18%,1159,1.26,201,0.22%,1653,1.8%,322,0.35%,78552,85.52%,813,0.89%,12159,13.24%,1978,2.15%,1613,1.76%,18558,20.21%,24896,27.11%,13092,14.25%,6268,6.82%,311,0.34%,288,0.31%,10
Nalanda (27),462838,262826,56.79%,8634,1.87%,19505,4.21%,817,0.18%,28504,6.16%,1602,0.35%,2031,0.44%,302009,65.25%,118449,25.59%,42379,9.16%,27469,5.93%,40572,8.77%,27519,5.95%,1448,0.31%,4715,1.02,6890,1.49%,10727,2.32%,1605,0.35%,370429,80.03%,5171,1.12%,85632,18.5%,20469,4.42%,14665,3.17%,84620,18.28%,144281,31.17%,54575,11.79%,59197,12.79%,3771,0.81%,1878,0.41%,10
