District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
Guntur (17),862356,597108,72045,66106,65720,1489,189246,260198,373096,8.35%,7.67%,7.62%,0.17%,21.95%,30.17%,43.26%,195430,178831,95963,33408,8840,1469,39,22.66%,20.74%,11.13%,3.87%,1.03%,0.17%,0%,83128,9.64%,28
Prakasam (18),701745,424315,6449,42389,44127,2164,126474,218010,235375,0.92%,6.04%,6.29%,0.31%,18.02%,31.07%,33.54%,142511,124951,66623,16309,3214,231,2,20.31%,17.81%,9.49%,2.32%,0.46%,0.03%,0%,70474,10.04%,28
SriPottiSriramuluNellore (19),590457,401199,19160,38967,45626,3974,156357,196793,246107,3.24%,6.6%,7.73%,0.67%,26.48%,33.33%,41.68%,119090,118477,74927,23646,5373,750,30,20.17%,20.07%,12.69%,4%,0.91%,0.13%,0.01%,58906,9.98%,28
YSR (20),516185,209073,1275,20992,22403,1092,63162,96686,105460,0.25%,4.07%,4.34%,0.21%,12.24%,18.73%,20.43%,73672,58254,27003,7630,1739,111,0,14.27%,11.29%,5.23%,1.48%,0.34%,0.02%,0%,40664,7.88%,28
Kurnool (21),637178,296749,7564,18307,24040,1694,71380,156115,151803,1.19%,2.87%,3.77%,0.27%,11.2%,24.5%,23.82%,112984,86359,34411,8072,1780,123,6,17.73%,13.55%,5.4%,1.27%,0.28%,0.02%,0%,53014,8.32%,28
Anantapur (22),686743,406606,2067,26065,31190,1679,87121,194972,152358,0.3%,3.8%,4.54%,0.24%,12.69%,28.39%,22.19%,157739,98073,34248,8019,1288,50,1,22.97%,14.28%,4.99%,1.17%,0.19%,0.01%,0%,107188,15.61%,28
Chittoor (23),798870,357149,1682,37148,41592,3003,108105,144891,145739,0.21%,4.65%,5.21%,0.38%,13.53%,18.14%,18.24%,121277,86506,41579,12157,2719,146,5,15.18%,10.83%,5.2%,1.52%,0.34%,0.02%,0%,92760,11.61%,28
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,29
South Zone Total,39443917,19480453,2192579,1831298,2223012,113841,6111318,7403796,10796602,5.56%,4.64%,5.64%,0.29%,15.49%,18.77%,27.37%,6684043,5429160,2641230,910825,260154,42149,1347,16.95%,13.76%,6.7%,2.31%,0.66%,0.11%,0%,3511545,8.9%,29
State Total,8048664,3995888,359638,233631,382474,20321,1308917,1525195,1174191,4.47%,2.9%,4.75%,0.25%,16.26%,18.95%,14.59%,1387384,913127,389661,114607,27444,4114,202,17.24%,11.35%,4.84%,1.42%,0.34%,0.05%,0%,1159349,14.4%,29
Belgaum (01),735630,385013,39182,24920,40529,2831,93794,148208,114203,5.33%,3.39%,5.51%,0.38%,12.75%,20.15%,15.52%,131476,80990,35931,11314,2915,395,31,17.87%,11.01%,4.88%,1.54%,0.4%,0.05%,0%,121961,16.58%,29
Bagalkot (02),240555,128447,5112,7428,16191,627,36705,62251,14366,2.13%,3.09%,6.73%,0.26%,15.26%,25.88%,5.97%,47242,28417,9629,2057,270,22,1,19.64%,11.81%,4%,0.86%,0.11%,0.01%,0%,40809,16.96%,29
Bijapur (03),292629,138247,5579,8021,13615,616,34939,67920,11194,1.91%,2.74%,4.65%,0.21%,11.94%,23.21%,3.83%,54286,27378,8108,1830,215,17,3,18.55%,9.36%,2.77%,0.63%,0.07%,0.01%,0%,46410,15.86%,29
Bidar (04),240566,102761,3204,7499,7551,677,40423,44752,33124,1.33%,3.12%,3.14%,0.28%,16.8%,18.6%,13.77%,35114,27139,11285,2612,588,91,7,14.6%,11.28%,4.69%,1.09%,0.24%,0.04%,0%,25925,10.78%,29
Raichur (05),267156,133678,18538,7000,12022,380,58345,78174,50353,6.94%,2.62%,4.5%,0.14%,21.84%,29.26%,18.85%,41884,41807,21789,6285,1374,310,11,15.68%,15.65%,8.16%,2.35%,0.51%,0.12%,0%,20218,7.57%,29
Koppal (06),222255,118855,12446,4817,11090,490,40401,51424,21654,5.6%,2.17%,4.99%,0.22%,18.18%,23.14%,9.74%,43004,27258,10250,2729,531,79,1,19.35%,12.26%,4.61%,1.23%,0.24%,0.04%,0%,35003,15.75%,29
Gadag (07),134976,92297,15493,3901,7922,315,25360,32765,26891,11.48%,2.89%,5.87%,0.23%,18.79%,24.27%,19.92%,31805,19839,9207,2503,610,79,1,23.56%,14.7%,6.82%,1.85%,0.45%,0.06%,0%,28253,20.93%,29
Dharwad (08),160538,100775,10020,4386,8442,604,17172,32476,18091,6.24%,2.73%,5.26%,0.38%,10.7%,20.23%,11.27%,35403,16388,5493,1309,239,17,0,22.05%,10.21%,3.42%,0.82%,0.15%,0.01%,0%,41926,26.12%,29
Uttara Kannada (09),240456,109255,3631,6110,9868,536,14797,22434,39425,1.51%,2.54%,4.1%,0.22%,6.15%,9.33%,16.4%,40295,15707,5623,1632,303,30,0,16.76%,6.53%,2.34%,0.68%,0.13%,0.01%,0%,45665,18.99%,29
