District Name,TotalHouseholds,Total Householdsconsidered fordeprivation,No. of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,No. of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,No. of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,No. of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,No. of Deprived Households with deprivation criteriaSC/SThouseholds,No. of Deprived Households with deprivation criteriaNo literate adultabove 25 years,No. of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,% of Deprived Households with deprivation criteriaOnly one room with kuchawalls and kucha roof,% of Deprived Households with deprivation criteriaNo adult member betweenage 16 to 59,% of Deprived Households with deprivation criteriaFemale headed households with no adultmale member between age 16 to 59,% of Deprived Households with deprivation criteriaDisabled member and noable bodied adult member,% of Deprived Households with deprivation criteriaSC/SThouseholds,% of Deprived Households with deprivation criteriaNo literate adultabove 25 years,% of Deprived Households with deprivation criteriaLandless households deriving major part oftheir income from manual casual labour,No. of Deprived Households withExactly 1,No. of Deprived Households withExactly 2,No. of Deprived Households withExactly 3,No. of Deprived Households withExactly 4,No. of Deprived Households withExactly 5,No. of Deprived Households withExactly 6,No. of Deprived Households withExactly 7,% of Deprived Households withExactly 1,% of Deprived Households withExactly 2,% of Deprived Households withExactly 3,% of Deprived Households withExactly 4,% of Deprived Households withExactly 5,% of Deprived Households withExactly 6,% of Deprived Households withExactly 7,Total Households- No deprivation HHs,Total Households- No deprivation %,State_Code
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,01
North Zone Total,9104338,3252838,317657,174705,154300,20997,1418955,1405927,1667430,3.49%,1.92%,1.69%,0.23%,15.59%,15.44%,18.31%,962128,952736,561953,120781,20657,3130,189,10.57%,10.46%,6.17%,1.33%,0.23%,0.03%,0%,631264,6.93%,01
State Total,1601606,825940,119436,29333,26517,5713,252997,403130,123764,7.46%,1.83%,1.66%,0.36%,15.8%,25.17%,7.73%,309638,196914,64290,13226,2023,243,11,19.33%,12.29%,4.01%,0.83%,0.13%,0.02%,0%,239595,14.96%,01
Kupwara (01),107636,60440,3097,1429,1018,715,7407,30770,9800,2.88%,1.33%,0.95%,0.66%,6.88%,28.59%,9.1%,24427,11440,1859,290,36,2,0,22.69%,10.63%,1.73%,0.27%,0.03%,0%,0%,22386,20.8%,01
Badgam (02),97773,40911,1955,1092,792,157,2190,25139,9935,2%,1.12%,0.81%,0.16%,2.24%,25.71%,10.16%,19838,8098,1294,285,36,4,0,20.29%,8.28%,1.32%,0.29%,0.04%,0%,0%,11356,11.61%,01
Leh(Ladakh) (03),17723,3839,346,410,442,44,3469,1534,288,1.95%,2.31%,2.49%,0.25%,19.57%,8.66%,1.63%,1886,1132,435,188,53,9,1,10.64%,6.39%,2.45%,1.06%,0.3%,0.05%,0.01%,135,0.76%,01
Kargil (04),15923,5867,1378,222,223,26,5726,2060,441,8.65%,1.39%,1.4%,0.16%,35.96%,12.94%,2.77%,2783,2063,795,156,28,3,0,17.48%,12.96%,4.99%,0.98%,0.18%,0.02%,0%,39,0.24%,01
Punch (05),81685,58521,7764,2199,3992,543,24710,26933,2660,9.5%,2.69%,4.89%,0.66%,30.25%,32.97%,3.26%,22607,14823,4134,832,136,23,0,27.68%,18.15%,5.06%,1.02%,0.17%,0.03%,0%,15966,19.55%,01
Rajouri (06),127822,82700,23482,3956,3539,606,46122,39267,1648,18.37%,3.09%,2.77%,0.47%,36.08%,30.72%,1.29%,27115,25077,10856,1696,354,37,1,21.21%,19.62%,8.49%,1.33%,0.28%,0.03%,0%,17564,13.74%,01
Kathua (07),99768,47207,9317,2202,1753,250,19785,19196,10310,9.34%,2.21%,1.76%,0.25%,19.83%,19.24%,10.33%,15037,11883,5593,1452,253,24,2,15.07%,11.91%,5.61%,1.46%,0.25%,0.02%,0%,12963,12.99%,01
Baramula (08),123540,51230,1518,1401,986,250,2984,25633,14502,1.23%,1.13%,0.8%,0.2%,2.42%,20.75%,11.74%,22085,9825,1497,234,20,2,0,17.88%,7.95%,1.21%,0.19%,0.02%,0%,0%,17567,14.22%,01
Bandipore (09),47848,22935,1362,480,370,156,6491,13824,4478,2.85%,1%,0.77%,0.33%,13.57%,28.89%,9.36%,10061,5867,1488,186,28,3,0,21.03%,12.26%,3.11%,0.39%,0.06%,0.01%,0%,5302,11.08%,01
Srinagar (10),4304,715,57,8,12,0,226,459,109,1.32%,0.19%,0.28%,0%,5.25%,10.66%,2.53%,236,216,65,2,0,0,0,5.48%,5.02%,1.51%,0.05%,0%,0%,0%,196,4.55%,01
Ganderbal (11),40450,17105,1282,365,264,82,6371,10615,5501,3.17%,0.9%,0.65%,0.2%,15.75%,26.24%,13.6%,5763,4791,2095,678,24,3,0,14.25%,11.84%,5.18%,1.68%,0.06%,0.01%,0%,3751,9.27%,01
Pulwama (12),79308,34464,1912,885,581,348,2599,14895,8642,2.41%,1.12%,0.73%,0.44%,3.28%,18.78%,10.9%,13009,5490,1451,343,26,3,0,16.4%,6.92%,1.83%,0.43%,0.03%,0%,0%,14142,17.83%,01
Shupiyan (13),42691,23267,2297,490,356,204,677,12537,3225,5.38%,1.15%,0.83%,0.48%,1.59%,29.37%,7.55%,10268,3333,759,121,17,1,0,24.05%,7.81%,1.78%,0.28%,0.04%,0%,0%,8768,20.54%,01
Anantnag (14),123476,61281,5523,1762,1336,364,11925,31899,14177,4.47%,1.43%,1.08%,0.29%,9.66%,25.83%,11.48%,21843,14181,4327,831,82,11,0,17.69%,11.48%,3.5%,0.67%,0.07%,0.01%,0%,20006,16.2%,01
Kulgam (15),61426,38086,4834,924,613,157,3768,20869,5789,7.87%,1.5%,1%,0.26%,6.13%,33.97%,9.42%,15162,6306,2312,506,38,5,0,24.68%,10.27%,3.76%,0.82%,0.06%,0.01%,0%,13757,22.4%,01
Doda (16),74110,51302,10129,2075,1538,268,13327,22685,919,13.67%,2.8%,2.08%,0.36%,17.98%,30.61%,1.24%,19638,10297,2836,450,73,6,0,26.5%,13.89%,3.83%,0.61%,0.1%,0.01%,0%,18002,24.29%,01
Ramban (17),55171,43129,12604,1543,1203,328,10112,24186,1811,22.85%,2.8%,2.18%,0.59%,18.33%,43.84%,3.28%,15940,10771,3958,509,73,5,0,28.89%,19.52%,7.17%,0.92%,0.13%,0.01%,0%,11873,21.52%,01
Kishtwar (18),42273,29517,4343,1482,923,177,7512,17623,1196,10.27%,3.51%,2.18%,0.42%,17.77%,41.69%,2.83%,11432,7050,2046,342,40,3,0,27.04%,16.68%,4.84%,0.81%,0.09%,0.01%,0%,8604,20.35%,01
Udhampur (19),79845,49067,9447,1253,1361,230,23191,20985,2585,11.83%,1.57%,1.7%,0.29%,29.05%,26.28%,3.24%,15962,13015,4523,696,127,12,0,19.99%,16.3%,5.66%,0.87%,0.16%,0.02%,0%,14732,18.45%,01
Reasi (20),52339,36376,3816,1114,1357,81,17297,21270,1607,7.29%,2.13%,2.59%,0.15%,33.05%,40.64%,3.07%,13387,11713,2461,521,50,2,0,25.58%,22.38%,4.7%,1%,0.1%,0%,0%,8242,15.75%,01
Jammu (21),170917,55546,10338,3230,3141,604,30374,16705,19803,6.05%,1.89%,1.84%,0.35%,17.77%,9.77%,11.59%,17538,16190,7593,2228,427,67,7,10.26%,9.47%,4.44%,1.3%,0.25%,0.04%,0%,11496,6.73%,01
Samba (22),55578,12435,2635,811,717,123,6734,4046,4338,4.74%,1.46%,1.29%,0.22%,12.12%,7.28%,7.81%,3621,3353,1913,680,102,18,0,6.52%,6.03%,3.44%,1.22%,0.18%,0.03%,0%,2748,4.94%,01
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,02
North Zone Total,9104338,3252838,317657,174705,154300,20997,1418955,1405927,1667430,3.49%,1.92%,1.69%,0.23%,15.59%,15.44%,18.31%,962128,952736,561953,120781,20657,3130,189,10.57%,10.46%,6.17%,1.33%,0.23%,0.03%,0%,631264,6.93%,02
State Total,1263756,420966,15107,34320,37573,3963,167798,98259,49584,1.2%,2.72%,2.97%,0.31%,13.28%,7.78%,3.92%,157022,69013,25197,7286,1210,118,9,12.43%,5.46%,1.99%,0.58%,0.1%,0.01%,0%,161111,12.75%,02
Chamba (01),92274,40159,4009,1905,2424,422,22255,14483,1862,4.34%,2.06%,2.63%,0.46%,24.12%,15.7%,2.02%,17555,9067,2824,635,121,9,0,19.02%,9.83%,3.06%,0.69%,0.13%,0.01%,0%,9948,10.78%,02
Kangra (02),309461,90804,2559,7702,10309,705,33257,15858,18584,0.83%,2.49%,3.33%,0.23%,10.75%,5.12%,6.01%,32307,15583,5753,1708,255,19,3,10.44%,5.04%,1.86%,0.55%,0.08%,0.01%,0%,35176,11.37%,02
LahulSpiti (03),6177,2276,481,222,282,45,2139,484,268,7.79%,3.59%,4.57%,0.73%,34.63%,7.84%,4.34%,1256,543,247,106,56,20,2,20.33%,8.79%,4%,1.72%,0.91%,0.32%,0.03%,46,0.74%,02
Kullu (04),79798,41865,673,2764,2641,278,15165,10716,2958,0.84%,3.46%,3.31%,0.35%,19%,13.43%,3.71%,14491,6131,1996,506,74,10,0,18.16%,7.68%,2.5%,0.63%,0.09%,0.01%,0%,18657,23.38%,02
Mandi (05),198952,74712,582,7090,6841,977,28785,16963,5361,0.29%,3.56%,3.44%,0.49%,14.47%,8.53%,2.69%,26356,10798,4171,1260,198,15,2,13.25%,5.43%,2.1%,0.63%,0.1%,0.01%,0%,31912,16.04%,02
Hamirpur (06),96745,26792,540,3436,4158,249,10039,4062,3563,0.56%,3.55%,4.3%,0.26%,10.38%,4.2%,3.68%,9870,3647,1998,629,71,3,0,10.2%,3.77%,2.07%,0.65%,0.07%,0%,0%,10574,10.93%,02
Una (07),97451,24615,1705,2280,2115,299,8547,3991,4798,1.75%,2.34%,2.17%,0.31%,8.77%,4.1%,4.92%,9094,3941,1501,445,83,9,1,9.33%,4.04%,1.54%,0.46%,0.09%,0.01%,0%,9541,9.79%,02
Bilaspur (08),70768,16428,237,2314,2057,175,6454,3467,1629,0.33%,3.27%,2.91%,0.25%,9.12%,4.9%,2.3%,5930,2238,1349,403,50,3,0,8.38%,3.16%,1.91%,0.57%,0.07%,0%,0%,6455,9.12%,02
Solan (09),90043,20459,919,1125,1302,186,7962,5131,2492,1.02%,1.25%,1.45%,0.21%,8.84%,5.7%,2.77%,8294,3142,1044,274,61,1,0,9.21%,3.49%,1.16%,0.3%,0.07%,0%,0%,7643,8.49%,02
Sirmaur (10),82214,32886,2470,1641,1503,182,12563,10640,4892,3%,2%,1.83%,0.22%,15.28%,12.94%,5.95%,12321,6536,2000,516,77,7,1,14.99%,7.95%,2.43%,0.63%,0.09%,0.01%,0%,11428,13.9%,02
Shimla (11),121586,43384,450,3021,2996,285,15084,10652,2526,0.37%,2.48%,2.46%,0.23%,12.41%,8.76%,2.08%,15931,5944,1703,471,38,2,0,13.1%,4.89%,1.4%,0.39%,0.03%,0%,0%,19295,15.87%,02
Kinnaur (12),18287,6586,482,820,945,160,5548,1812,651,2.64%,4.48%,5.17%,0.87%,30.34%,9.91%,3.56%,3617,1443,611,333,126,20,0,19.78%,7.89%,3.34%,1.82%,0.69%,0.11%,0%,436,2.38%,02
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,03
North Zone Total,9104338,3252838,317657,174705,154300,20997,1418955,1405927,1667430,3.49%,1.92%,1.69%,0.23%,15.59%,15.44%,18.31%,962128,952736,561953,120781,20657,3130,189,10.57%,10.46%,6.17%,1.33%,0.23%,0.03%,0%,631264,6.93%,03
State Total,3269467,822896,82374,55051,38664,5653,531142,409260,689544,2.52%,1.68%,1.18%,0.17%,16.25%,12.52%,21.09%,152240,299044,259084,56981,9286,1516,94,4.66%,9.15%,7.92%,1.74%,0.28%,0.05%,0%,44651,1.37%,03
Gurdaspur (01),297035,65042,5436,3823,3284,665,28371,24108,52988,1.83%,1.29%,1.11%,0.22%,9.55%,8.12%,17.84%,19503,25146,11966,2593,450,60,0,6.57%,8.47%,4.03%,0.87%,0.15%,0.02%,0%,5324,1.79%,03
Kapurthala (02),104862,13189,952,1154,867,94,8903,6165,11175,0.91%,1.1%,0.83%,0.09%,8.49%,5.88%,10.66%,2258,5531,3830,878,170,23,0,2.15%,5.27%,3.65%,0.84%,0.16%,0.02%,0%,499,0.48%,03
Jalandhar (03),214994,28323,1524,2731,2314,215,21171,10684,24371,0.71%,1.27%,1.08%,0.1%,9.85%,4.97%,11.34%,4249,13823,7117,1900,393,32,1,1.98%,6.43%,3.31%,0.88%,0.18%,0.01%,0%,808,0.38%,03
Hoshiarpur (04),263563,51814,4759,4893,4874,427,27492,13335,39349,1.81%,1.86%,1.85%,0.16%,10.43%,5.06%,14.93%,13200,22098,8277,2480,519,61,3,5.01%,8.38%,3.14%,0.94%,0.2%,0.02%,0%,5176,1.96%,03
Shahid Bhagat Singh Nagar (05),103553,16715,1026,1887,1540,236,9983,5390,13303,0.99%,1.82%,1.49%,0.23%,9.64%,5.21%,12.85%,3793,7569,3132,960,213,21,1,3.66%,7.31%,3.02%,0.93%,0.21%,0.02%,0%,1026,0.99%,03
Fatehgarh Sahib (06),76287,17180,706,1373,734,111,11106,6160,14987,0.93%,1.8%,0.96%,0.15%,14.56%,8.07%,19.65%,3719,8075,3788,775,153,12,1,4.88%,10.59%,4.97%,1.02%,0.2%,0.02%,0%,657,0.86%,03
Ludhiana (07),269447,60333,6691,4312,3040,396,39073,22150,51145,2.48%,1.6%,1.13%,0.15%,14.5%,8.22%,18.98%,12607,26225,13940,3909,732,101,4,4.68%,9.73%,5.17%,1.45%,0.27%,0.04%,0%,2815,1.04%,03
Moga (08),143743,42420,5885,2702,1482,267,30892,23827,37962,4.09%,1.88%,1.03%,0.19%,21.49%,16.58%,26.41%,5484,14460,16771,3685,574,101,12,3.82%,10.06%,11.67%,2.56%,0.4%,0.07%,0.01%,1333,0.93%,03
Firozpur (09),270011,105627,22545,5495,3476,487,78718,59588,91496,8.35%,2.04%,1.29%,0.18%,29.15%,22.07%,33.89%,14283,33136,39142,12991,1854,406,22,5.29%,12.27%,14.5%,4.81%,0.69%,0.15%,0.01%,3793,1.4%,03
Muktsar (10),123773,47642,5886,2657,1473,242,37400,30213,43384,4.76%,2.15%,1.19%,0.2%,30.22%,24.41%,35.05%,4598,14924,21391,4562,702,137,8,3.71%,12.06%,17.28%,3.69%,0.57%,0.11%,0.01%,1320,1.07%,03
Faridkot (11),74717,20942,997,1488,891,91,16033,13285,18210,1.33%,1.99%,1.19%,0.12%,21.46%,17.78%,24.37%,2420,7006,9288,1312,253,31,0,3.24%,9.38%,12.43%,1.76%,0.34%,0.04%,0%,632,0.85%,03
Bathinda (12),159138,45336,2161,3036,1681,201,33910,29360,39498,1.36%,1.91%,1.06%,0.13%,21.31%,18.45%,24.82%,5436,14332,20463,2790,530,82,8,3.42%,9.01%,12.86%,1.75%,0.33%,0.05%,0.01%,1695,1.07%,03
Mansa (13),114443,47594,6901,2775,1624,495,32766,31289,38850,6.03%,2.42%,1.42%,0.43%,28.63%,27.34%,33.95%,6551,12999,19590,4853,607,144,10,5.72%,11.36%,17.12%,4.24%,0.53%,0.13%,0.01%,2840,2.48%,03
Patiala (14),213729,54561,3199,3597,2182,527,30402,28548,46531,1.5%,1.68%,1.02%,0.25%,14.22%,13.36%,21.77%,12133,20530,16221,2634,426,68,8,5.68%,9.61%,7.59%,1.23%,0.2%,0.03%,0%,2541,1.19%,03
Amritsar (15),206172,45978,2295,2453,1884,122,27258,22893,37194,1.11%,1.19%,0.91%,0.06%,13.22%,11.1%,18.04%,10012,16347,14069,1920,273,20,3,4.86%,7.93%,6.82%,0.93%,0.13%,0.01%,0%,3334,1.62%,03
Tarn Taran (16),165688,44280,3967,2126,1912,123,28306,25757,37287,2.39%,1.28%,1.15%,0.07%,17.08%,15.55%,22.5%,7144,14621,16147,3065,400,64,1,4.31%,8.82%,9.75%,1.85%,0.24%,0.04%,0%,2838,1.71%,03
Rupnagar (17),94482,18215,1732,1746,1453,164,8458,5014,11874,1.83%,1.85%,1.54%,0.17%,8.95%,5.31%,12.57%,5282,6497,2646,791,168,29,7,5.59%,6.88%,2.8%,0.84%,0.18%,0.03%,0.01%,2795,2.96%,03
Sahibzada Ajit Singh Nagar (18),85222,18212,1711,970,723,178,8721,6022,14193,2.01%,1.14%,0.85%,0.21%,10.23%,7.07%,16.65%,5696,7089,3052,681,118,29,0,6.68%,8.32%,3.58%,0.8%,0.14%,0.03%,0%,1547,1.82%,03
Sangrur (19),214234,60931,3201,4352,2503,468,38974,34151,49676,1.49%,2.03%,1.17%,0.22%,18.19%,15.94%,23.19%,11372,22395,20478,3099,566,78,5,5.31%,10.45%,9.56%,1.45%,0.26%,0.04%,0%,2938,1.37%,03
Barnala (20),74374,18562,800,1481,727,144,13205,11321,16071,1.08%,1.99%,0.98%,0.19%,17.75%,15.22%,21.61%,2500,6241,7776,1103,185,17,0,3.36%,8.39%,10.46%,1.48%,0.25%,0.02%,0%,740,0.99%,03
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,04
UT Zone Total,1338560,295092,25143,10825,14586,1137,71768,75751,94827,1.88%,0.81%,1.09%,0.08%,5.36%,5.66%,7.08%,104956,53100,18908,4872,1084,200,7,7.84%,3.97%,1.41%,0.36%,0.08%,0.01%,0%,111965,8.36%,04
State Total,15657,6397,227,65,105,7,1489,2425,1746,1.45%,0.42%,0.67%,0.04%,9.51%,15.49%,11.15%,2255,1244,385,39,2,0,0,14.4%,7.95%,2.46%,0.25%,0.01%,0%,0%,2472,15.79%,04
CHANDIGARH DISTRICT (01),15657,6397,227,65,105,7,1489,2425,1746,1.45%,0.42%,0.67%,0.04%,9.51%,15.49%,11.15%,2255,1244,385,39,2,0,0,14.4%,7.95%,2.46%,0.25%,0.01%,0%,0%,2472,15.79%,04
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,05
Central Zone Total,43325279,25332025,6932877,1572246,1374945,178560,9957103,10747265,11804447,16%,3.63%,3.17%,0.41%,22.98%,24.81%,27.25%,7484871,7130385,4178178,1528103,332557,79443,5059,17.28%,16.46%,9.64%,3.53%,0.77%,0.18%,0.01%,4593429,10.6%,05
State Total,1479742,651686,39280,51652,81973,6010,188431,190584,181664,2.65%,3.49%,5.54%,0.41%,12.73%,12.88%,12.28%,213702,140516,60592,12624,2154,282,18,14.44%,9.5%,4.09%,0.85%,0.15%,0.02%,0%,221798,14.99%,05
Uttarkashi (01),64836,41209,1467,4251,5924,398,12265,13123,1793,2.26%,6.56%,9.14%,0.61%,18.92%,20.24%,2.77%,13371,7027,2798,722,92,9,0,20.62%,10.84%,4.32%,1.11%,0.14%,0.01%,0%,17190,26.51%,05
Chamoli (02),70323,30870,681,2763,4855,256,8305,5594,1322,0.97%,3.93%,6.9%,0.36%,11.81%,7.95%,1.88%,10045,3639,1511,381,66,11,0,14.28%,5.17%,2.15%,0.54%,0.09%,0.02%,0%,15217,21.64%,05
Rudraprayag (03),48830,15809,35,1629,3021,49,3263,3013,991,0.07%,3.34%,6.19%,0.1%,6.68%,6.17%,2.03%,4849,1869,903,160,13,0,0,9.93%,3.83%,1.85%,0.33%,0.03%,0%,0%,8015,16.41%,05
TehriGarhwal (04),119766,56824,1111,6837,12602,618,9753,17043,3819,0.93%,5.71%,10.52%,0.52%,8.14%,14.23%,3.19%,17419,9069,4118,845,91,5,1,14.54%,7.57%,3.44%,0.71%,0.08%,0%,0%,25276,21.1%,05
Dehradun (05),165649,44190,4988,2254,2492,187,15988,16401,21880,3.01%,1.36%,1.5%,0.11%,9.65%,9.9%,13.21%,16608,13478,5017,1105,195,30,0,10.03%,8.14%,3.03%,0.67%,0.12%,0.02%,0%,7757,4.68%,05
Garhwal (06),140122,63818,949,9243,14344,524,12407,13250,3341,0.68%,6.6%,10.24%,0.37%,8.85%,9.46%,2.38%,19733,8096,4700,877,99,5,0,14.08%,5.78%,3.35%,0.63%,0.07%,0%,0%,30308,21.63%,05
Pithoragarh (07),91906,49172,981,4017,6354,498,18094,8817,2234,1.07%,4.37%,6.91%,0.54%,19.69%,9.59%,2.43%,18041,6259,2534,605,78,4,0,19.63%,6.81%,2.76%,0.66%,0.08%,0%,0%,21651,23.56%,05
Bageshwar (08),53420,25496,244,1995,4142,284,8786,4916,1714,0.46%,3.73%,7.75%,0.53%,16.45%,9.2%,3.21%,8929,3773,1399,284,46,6,1,16.71%,7.06%,2.62%,0.53%,0.09%,0.01%,0%,11058,20.7%,05
Almora (09),125275,64709,478,6807,13505,2159,14468,13479,2403,0.38%,5.43%,10.78%,1.72%,11.55%,10.76%,1.92%,21141,8612,3894,732,60,4,0,16.88%,6.87%,3.11%,0.58%,0.05%,0%,0%,30266,24.16%,05
Champawat (10),44150,27256,1746,1560,2787,101,5904,5327,2098,3.95%,3.53%,6.31%,0.23%,13.37%,12.07%,4.75%,8027,3104,1356,263,30,3,0,18.18%,7.03%,3.07%,0.6%,0.07%,0.01%,0%,14473,32.78%,05
Nainital (11),117469,43245,4287,1932,2520,189,14523,8257,9773,3.65%,1.64%,2.15%,0.16%,12.36%,7.03%,8.32%,13758,7316,3088,748,123,32,4,11.71%,6.23%,2.63%,0.64%,0.1%,0.03%,0%,18176,15.47%,05
UdhamSinghNagar (12),206204,87544,14584,4387,6011,448,29107,36945,53206,7.07%,2.13%,2.92%,0.22%,14.12%,17.92%,25.8%,29020,28375,13588,3467,724,104,6,14.07%,13.76%,6.59%,1.68%,0.35%,0.05%,0%,12260,5.95%,05
Hardwar (13),231792,101544,7729,3977,3416,299,35568,44419,77090,3.33%,1.72%,1.47%,0.13%,15.34%,19.16%,33.26%,32761,39899,15686,2435,537,69,6,14.13%,17.21%,6.77%,1.05%,0.23%,0.03%,0%,10151,4.38%,05
All India Total,179787454,107437982,23877228,6535456,6943247,720078,38761258,42285377,54000648,13.28%,3.64%,3.86%,0.4%,21.56%,23.52%,30.04%,33693990,30061258,16582793,5531381,1187201,234397,12928,18.74%,16.72%,9.22%,3.08%,0.66%,0.13%,0.01%,20134034,11.2%,06
North Zone Total,9104338,3252838,317657,174705,154300,20997,1418955,1405927,1667430,3.49%,1.92%,1.69%,0.23%,15.59%,15.44%,18.31%,962128,952736,561953,120781,20657,3130,189,10.57%,10.46%,6.17%,1.33%,0.23%,0.03%,0%,631264,6.93%,06
State Total,2969509,1183036,100740,56001,51546,5668,467018,495278,804538,3.39%,1.89%,1.74%,0.19%,15.73%,16.68%,27.09%,343228,387765,213382,43288,8138,1253,75,11.56%,13.06%,7.19%,1.46%,0.27%,0.04%,0%,185907,6.26%,06
Panchkula (01),47620,14924,1292,739,572,49,5190,5863,10198,2.71%,1.55%,1.2%,0.1%,10.9%,12.31%,21.42%,4723,5109,2102,558,74,9,0,9.92%,10.73%,4.41%,1.17%,0.16%,0.02%,0%,2349,4.93%,06
Ambala (02),114196,44472,2627,2315,1615,215,23886,13800,35371,2.3%,2.03%,1.41%,0.19%,20.92%,12.08%,30.97%,12336,18410,7652,1486,284,53,5,10.8%,16.12%,6.7%,1.3%,0.25%,0.05%,0%,4246,3.72%,06
Yamunanagar (03),132327,57992,5769,3063,1997,393,28292,22530,46793,4.36%,2.31%,1.51%,0.3%,21.38%,17.03%,35.36%,15487,25358,10560,2019,464,86,6,11.7%,19.16%,7.98%,1.53%,0.35%,0.06%,0%,4012,3.03%,06
Kurukshetra (04),129992,55060,5641,3061,2305,434,24339,23139,46756,4.34%,2.35%,1.77%,0.33%,18.72%,17.8%,35.97%,15869,20828,11405,2667,533,91,8,12.21%,16.02%,8.77%,2.05%,0.41%,0.07%,0.01%,3659,2.81%,06
Kaithal (05),152125,73725,5727,3312,2884,375,30798,36083,53643,3.76%,2.18%,1.9%,0.25%,20.25%,23.72%,35.26%,19789,22867,17278,3032,551,90,6,13.01%,15.03%,11.36%,1.99%,0.36%,0.06%,0%,10112,6.65%,06
Karnal (06),183992,87367,6879,4345,3558,340,34720,38002,67822,3.74%,2.36%,1.93%,0.18%,18.87%,20.65%,36.86%,26670,31197,16293,3501,638,80,7,14.5%,16.96%,8.86%,1.9%,0.35%,0.04%,0%,8981,4.88%,06
Panipat (07),115331,44144,4672,1915,1647,220,13880,17468,33514,4.05%,1.66%,1.43%,0.19%,12.03%,15.15%,29.06%,15061,15087,6762,1531,282,40,3,13.06%,13.08%,5.86%,1.33%,0.24%,0.03%,0%,5378,4.66%,06
Sonipat (08),178864,63634,3091,2926,2737,308,20327,19904,40826,1.73%,1.64%,1.53%,0.17%,11.36%,11.13%,22.83%,21884,18959,7586,1453,286,47,5,12.23%,10.6%,4.24%,0.81%,0.16%,0.03%,0%,13414,7.5%,06
Jind (09),185184,83056,4141,3889,4729,399,34538,36522,54424,2.24%,2.1%,2.55%,0.22%,18.65%,19.72%,29.39%,21912,24495,17124,3176,640,75,2,11.83%,13.23%,9.25%,1.72%,0.35%,0.04%,0%,15632,8.44%,06
Fatehabad (10),138546,56440,5347,2829,2530,246,31694,33137,43100,3.86%,2.04%,1.83%,0.18%,22.88%,23.92%,31.11%,11467,18358,17809,3392,611,106,2,8.28%,13.25%,12.85%,2.45%,0.44%,0.08%,0%,4695,3.39%,06
Sirsa (11),175850,65757,9195,3619,2859,368,37628,36644,49214,5.23%,2.06%,1.63%,0.21%,21.4%,20.84%,27.99%,13653,21043,19615,4940,804,181,11,7.76%,11.97%,11.15%,2.81%,0.46%,0.1%,0.01%,5510,3.13%,06
Hisar (12),224387,89293,5534,3161,3504,329,40586,39679,55755,2.47%,1.41%,1.56%,0.15%,18.09%,17.68%,24.85%,23326,27399,18235,3070,566,98,3,10.4%,12.21%,8.13%,1.37%,0.25%,0.04%,0%,16596,7.4%,06
Bhiwani (13),244308,91184,8181,3541,4041,343,32483,34488,55089,3.35%,1.45%,1.65%,0.14%,13.3%,14.12%,22.55%,27153,26167,14607,3019,469,67,5,11.11%,10.71%,5.98%,1.24%,0.19%,0.03%,0%,19697,8.06%,06
Rohtak (14),109762,37882,2160,1886,1860,186,15722,11611,22400,1.97%,1.72%,1.69%,0.17%,14.32%,10.58%,20.41%,11054,11280,5522,1059,238,33,3,10.07%,10.28%,5.03%,0.96%,0.22%,0.03%,0%,8693,7.92%,06
Jhajjar (15),126621,37787,2792,1855,2103,235,14339,10446,22502,2.21%,1.47%,1.66%,0.19%,11.32%,8.25%,17.77%,10973,10992,4960,1286,212,35,3,8.67%,8.68%,3.92%,1.02%,0.17%,0.03%,0%,9326,7.37%,06
