District Name,Total Households,Number of SC Households,% of SC Households,Number of ST Households,% of ST Households,Number of Others Households,% of Others Households,Number of No Caste & Tribe Households,% No Caste & Tribe Households,State_Code
Karur (12),176084,43401,24.65%,382,0.22%,132239,75.1%,62,0.04%,33
Tiruchirappalli (13),368071,79636,21.64%,3879,1.05%,283788,77.1%,768,0.21%,33
Perambalur (14),122676,39757,32.41%,639,0.52%,82233,67.03%,44,0.04%,33
Ariyalur (15),175439,41543,23.68%,2596,1.48%,131279,74.83%,14,0.01%,33
Cuddalore (16),436344,153735,35.23%,2860,0.66%,279623,64.08%,114,0.03%,33
Nagapattinam (17),318840,120720,37.86%,627,0.2%,197136,61.83%,346,0.11%,33
Thiruvarur (18),258848,102135,39.46%,365,0.14%,156231,60.36%,117,0.05%,33
Thanjavur (19),407041,95221,23.39%,510,0.13%,310868,76.37%,412,0.1%,33
Pudukkottai (20),313859,62664,19.97%,173,0.06%,250972,79.96%,44,0.01%,33
Sivaganga (21),240032,50519,21.05%,68,0.03%,189308,78.87%,115,0.05%,33
Madurai (22),329414,69912,21.22%,1540,0.47%,257412,78.14%,528,0.16%,33
Theni (23),151886,37535,24.71%,344,0.23%,113956,75.03%,51,0.03%,33
Virudhunagar (24),340545,87423,25.67%,588,0.17%,251271,73.78%,670,0.2%,33
Ramanathapuram (25),238720,55151,23.1%,234,0.1%,183184,76.74%,150,0.06%,33
Thoothukkudi (26),257307,71280,27.7%,476,0.18%,185491,72.09%,60,0.02%,33
Tirunelveli (27),422627,100991,23.9%,1139,0.27%,320115,75.74%,382,0.09%,33
Kanniyakumari (28),166505,8217,4.93%,1178,0.71%,157085,94.34%,25,0.02%,33
Dharmapuri (29),323955,52141,16.1%,16952,5.23%,254594,78.59%,268,0.08%,33
Krishnagiri (30),343293,52844,15.39%,6228,1.81%,283917,82.7%,304,0.09%,33
Coimbatore (31),268951,59649,22.18%,5868,2.18%,202160,75.17%,1021,0.38%,33
Tiruppur (32),318659,82010,25.74%,689,0.22%,235695,73.96%,265,0.08%,33
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,34
UT Zone Total,1338560,170441,12.73%,48291,3.61%,998379,74.59%,121162,9.05%,34
State Total,115249,27466,23.83%,0,0%,87416,75.85%,367,0.32%,34
Puducherry (02),88898,21364,24.03%,0,0%,67378,75.79%,156,0.18%,34
Karaikal (04),26351,6102,23.16%,0,0%,20038,76.04%,211,0.8%,34
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,35
UT Zone Total,1338560,170441,12.73%,48291,3.61%,998379,74.59%,121162,9.05%,35
State Total,68481,0,0%,6950,10.15%,35762,52.22%,25751,37.6%,35
Nicobars (01),9333,0,0%,6204,66.47%,1800,19.29%,1326,14.21%,35
