District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
Krishnagiri (30),343293,2228794.58,146381,42.64%,196912,57.36%,632484.87,28.38%,924383.46,41.47%,671926.25,30.15%,15588,4.54%,53983,15.73%,5126,1.49%,33
Coimbatore (31),268951,625259.2,45953,17.09%,222998,82.91%,227700.8,36.42%,187257.25,29.95%,210301.15,33.63%,13394,4.98%,25115,9.34%,3998,1.49%,33
Tiruppur (32),318659,566962.6,70449,22.11%,248210,77.89%,309187.8,54.53%,100185.93,17.67%,157588.87,27.8%,31295,9.82%,42535,13.35%,4768,1.5%,33
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,34
UT Zone Total,1338560,1208989.38,113689,8.49%,1224870,91.51%,680348.5,56.27%,311758.53,25.79%,216882.36,17.94%,53417,3.99%,99376,7.42%,43136,3.22%,34
State Total,115249,30645.01,6016,5.22%,109233,94.78%,13517.36,44.11%,12800.73,41.77%,4326.92,14.12%,1113,0.97%,2752,2.39%,1381,1.2%,34
Puducherry (02),88898,20712.79,3987,4.48%,84911,95.52%,9730.03,46.98%,8610.61,41.57%,2372.15,11.45%,856,0.96%,2397,2.7%,1236,1.39%,34
Karaikal (04),26351,9932.22,2029,7.7%,24322,92.3%,3787.33,38.13%,4190.12,42.19%,1954.77,19.68%,257,0.98%,355,1.35%,145,0.55%,34
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,35
UT Zone Total,1338560,1208989.38,113689,8.49%,1224870,91.51%,680348.5,56.27%,311758.53,25.79%,216882.36,17.94%,53417,3.99%,99376,7.42%,43136,3.22%,35
State Total,68481,279065.3,13270,19.38%,55211,80.62%,212448.75,76.13%,53352.35,19.12%,13264.21,4.75%,705,1.03%,1113,1.63%,749,1.09%,35
Nicobars (01),9333,12921.23,2943,31.53%,6390,68.47%,9939.03,76.92%,1033.85,8%,1948.35,15.08%,52,0.56%,60,0.64%,30,0.32%,35
North  & Middle Andaman (02),26990,71245.71,5520,20.45%,21470,79.55%,51230.73,71.91%,13963.24,19.6%,6051.74,8.49%,423,1.57%,659,2.44%,455,1.69%,35
South Andaman (03),32158,194898.36,4807,14.95%,27351,85.05%,151278.99,77.62%,38355.26,19.68%,5264.12,2.7%,230,0.72%,394,1.23%,264,0.82%,35
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,36
