District Name,Total Households,Total land,Number of Households with Land,% of Households with Land,Number of Households with No Land,% of Households with No Land,Total Un-irrigated land in acres,% Total Un-irrigated land in acres,With assured irrigation for two crops (in acres),% With assured irrigation for two crops (in acres),Other irrigated land (in acres),% Other irrigated land (in acres),Number of Households owning Mechanized Three/Four Wheeler Agricultural equipment,% of Households owning Mechanized Three/Four Wheeler Agricultural equipment,"Number of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","% of Households owning Irrigation equipment (including diesel/kerosene/electric pumpset, sprinkler/drip irrigation system, etc.)","Number of Households having Kisan Credit Card with credit limit of Rs 50,000 or above","% of Households having Kisan Credit Card with credit limit of Rs 50,000 or above",State_Code
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,01
North Zone Total,9104338,40686145.69,4695989,51.58%,4406332,48.4%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%,01
State Total,1601606,3543854.23,1242506,77.58%,359099,22.42%,1863813.6,52.59%,882697.77,24.91%,797441.41,22.5%,27566,1.72%,53516,3.34%,12472,0.78%,01
Kupwara (01),107636,598895.25,82939,77.06%,24696,22.94%,336409.42,56.17%,42479.09,7.09%,220006.74,36.74%,1198,1.11%,1112,1.03%,410,0.38%,01
Badgam (02),97773,122246.78,71694,73.33%,26079,26.67%,49421.51,40.43%,41895.32,34.27%,30929.94,25.3%,1161,1.19%,1145,1.17%,348,0.36%,01
Leh(Ladakh) (03),17723,139724.36,12531,70.7%,5192,29.3%,78775.04,56.38%,4796.25,3.43%,56153.07,40.19%,482,2.72%,181,1.02%,299,1.69%,01
Kargil (04),15923,46353.27,9603,60.31%,6320,39.69%,10869.97,23.45%,13447.08,29.01%,22036.22,47.54%,90,0.57%,64,0.4%,67,0.42%,01
Punch (05),81685,133507.73,73437,89.9%,8248,10.1%,69099.98,51.76%,39753.59,29.78%,24654.17,18.47%,1016,1.24%,2998,3.67%,419,0.51%,01
Rajouri (06),127822,368951.01,120447,94.23%,7375,5.77%,266019.16,72.1%,60798.14,16.48%,42224,11.44%,3654,2.86%,2735,2.14%,1306,1.02%,01
Kathua (07),99768,153729.65,66356,66.51%,33412,33.49%,85128.71,55.38%,54835.79,35.67%,13765.14,8.95%,2169,2.17%,5131,5.14%,1064,1.07%,01
Baramula (08),123540,176148.11,90907,73.59%,32633,26.41%,101612.32,57.69%,25371.86,14.4%,49170.93,27.91%,2741,2.22%,2490,2.02%,696,0.56%,01
Bandipore (09),47848,40802.09,29563,61.79%,18285,38.21%,17080.4,41.86%,6661.44,16.33%,17060.25,41.81%,511,1.07%,1572,3.29%,276,0.58%,01
Srinagar (10),4304,5810.63,1961,45.56%,2343,54.44%,3372.9,58.05%,1286.46,22.14%,1151.27,19.81%,240,5.58%,217,5.04%,117,2.72%,01
Ganderbal (11),40450,151634.05,27561,68.14%,12889,31.86%,75508.95,49.8%,39511.55,26.06%,36613.55,24.15%,346,0.86%,561,1.39%,119,0.29%,01
Pulwama (12),79308,101976.32,60870,76.75%,18438,23.25%,45022.83,44.15%,28459.38,27.91%,28494.11,27.94%,625,0.79%,4015,5.06%,539,0.68%,01
Shupiyan (13),42691,96917.24,37011,86.7%,5680,13.3%,55516.64,57.28%,9216.5,9.51%,32184.1,33.21%,419,0.98%,6009,14.08%,285,0.67%,01
Anantnag (14),123476,147022.92,94119,76.22%,29357,23.78%,52977.37,36.03%,63692.35,43.32%,30353.2,20.65%,1169,0.95%,3234,2.62%,708,0.57%,01
Kulgam (15),61426,102904.17,50208,81.74%,11218,18.26%,36665.6,35.63%,42230.61,41.04%,24007.96,23.33%,646,1.05%,2344,3.82%,633,1.03%,01
Doda (16),74110,197253.75,70553,95.2%,3557,4.8%,153649.47,77.89%,23987.57,12.16%,19616.72,9.94%,328,0.44%,213,0.29%,309,0.42%,01
Ramban (17),55171,59095.99,51472,93.3%,3699,6.7%,38094.74,64.46%,10637.48,18%,10365.03,17.54%,234,0.42%,385,0.7%,163,0.3%,01
Kishtwar (18),42273,133349.94,37323,88.29%,4950,11.71%,59842.91,44.88%,35408.23,26.55%,38098.79,28.57%,167,0.4%,261,0.62%,285,0.67%,01
Udhampur (19),79845,171166.04,70983,88.9%,8862,11.1%,106582,62.27%,53407.41,31.2%,11176.64,6.53%,1177,1.47%,1196,1.5%,879,1.1%,01
Reasi (20),52339,214831.21,47760,91.25%,4579,8.75%,76281.94,35.51%,81450.3,37.91%,57098.97,26.58%,397,0.76%,201,0.38%,273,0.52%,01
Jammu (21),170917,289795.23,99394,58.15%,71523,41.85%,94275.9,32.53%,168714.59,58.22%,26804.74,9.25%,7216,4.22%,10756,6.29%,2873,1.68%,01
Samba (22),55578,91738.49,35814,64.44%,19764,35.56%,51605.84,56.25%,34656.78,37.78%,5475.87,5.97%,1580,2.84%,6696,12.05%,404,0.73%,01
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,02
North Zone Total,9104338,40686145.69,4695989,51.58%,4406332,48.4%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%,02
State Total,1263756,10813614.19,985674,78%,278082,22%,6959355.9,64.36%,2717073.61,25.13%,1137184.69,10.52%,38020,3.01%,44023,3.48%,68720,5.44%,02
Chamba (01),92274,153242.15,77824,84.34%,14450,15.66%,87941.6,57.39%,43713.01,28.53%,21587.53,14.09%,1844,2%,1759,1.91%,4473,4.85%,02
Kangra (02),309461,6191554.75,225543,72.88%,83918,27.12%,4256315.4,68.74%,1462308.53,23.62%,472930.83,7.64%,11059,3.57%,6845,2.21%,8320,2.69%,02
LahulSpiti (03),6177,23958.64,4155,67.27%,2022,32.73%,3177.19,13.26%,7315.98,30.54%,13465.48,56.2%,231,3.74%,838,13.57%,718,11.62%,02
Kullu (04),79798,142057.03,61842,77.5%,17956,22.5%,91057.88,64.1%,40072.38,28.21%,10926.77,7.69%,1171,1.47%,2799,3.51%,3951,4.95%,02
Mandi (05),198952,361527.72,166987,83.93%,31965,16.07%,234034.3,64.73%,85013.7,23.52%,42479.73,11.75%,4732,2.38%,3955,1.99%,11049,5.55%,02
Hamirpur (06),96745,563550.97,79729,82.41%,17016,17.59%,220556.56,39.14%,220905.92,39.2%,122088.49,21.66%,2595,2.68%,2696,2.79%,3550,3.67%,02
Una (07),97451,247388.55,74977,76.94%,22474,23.06%,112128.71,45.32%,85721.37,34.65%,49538.47,20.02%,3618,3.71%,5465,5.61%,4448,4.56%,02
Bilaspur (08),70768,771629.98,58565,82.76%,12203,17.24%,482201.09,62.49%,203346.76,26.35%,86082.14,11.16%,1843,2.6%,1683,2.38%,4983,7.04%,02
Solan (09),90043,547688.8,62140,69.01%,27903,30.99%,196550.47,35.89%,263133.7,48.04%,88004.63,16.07%,4488,4.98%,4693,5.21%,5179,5.75%,02
Sirmaur (10),82214,357922.63,63356,77.06%,18858,22.94%,114742.37,32.06%,121669.77,33.99%,121510.48,33.95%,2999,3.65%,4732,5.76%,6382,7.76%,02
Shimla (11),121586,1380983.96,98759,81.23%,22827,18.77%,1120210.77,81.12%,161226.04,11.67%,99547.14,7.21%,3155,2.59%,7749,6.37%,12424,10.22%,02
Kinnaur (12),18287,72109.01,11797,64.51%,6490,35.49%,40439.56,56.08%,22646.45,31.41%,9023,12.51%,285,1.56%,809,4.42%,3243,17.73%,02
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,03
North Zone Total,9104338,40686145.69,4695989,51.58%,4406332,48.4%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%,03
State Total,3269467,9428033.76,1160442,35.49%,2109025,64.51%,3493333.87,37.05%,4514284.37,47.88%,1420415.55,15.07%,528411,16.16%,747052,22.85%,268189,8.2%,03
Gurdaspur (01),297035,1202910.83,104602,35.22%,192433,64.78%,342375.57,28.46%,764442.08,63.55%,96093.18,7.99%,32474,10.93%,69402,23.36%,17818,6%,03
Kapurthala (02),104862,249968.75,34284,32.69%,70578,67.31%,81148.8,32.46%,148414.42,59.37%,20405.53,8.16%,14152,13.5%,24452,23.32%,6298,6.01%,03
Jalandhar (03),214994,1141778.9,49877,23.2%,165117,76.8%,80418.48,7.04%,958208.45,83.92%,103151.98,9.03%,24935,11.6%,30588,14.23%,8469,3.94%,03
Hoshiarpur (04),263563,31100.7,81079,30.76%,182484,69.24%,8768.14,28.19%,19182.84,61.68%,3149.72,10.13%,21251,8.06%,35053,13.3%,9048,3.43%,03
Shahid Bhagat Singh Nagar (05),103553,161244.87,32247,31.14%,71306,68.86%,41034.52,25.45%,97952.71,60.75%,22257.64,13.8%,10776,10.41%,17142,16.55%,4540,4.38%,03
Fatehgarh Sahib (06),76287,20569.65,28013,36.72%,48274,63.28%,3411.1,16.58%,14880.3,72.34%,2278.25,11.08%,15068,19.75%,21976,28.81%,10195,13.36%,03
Ludhiana (07),269447,681597.87,78900,29.28%,190547,70.72%,226342.37,33.21%,347950.49,51.05%,107305.01,15.74%,39223,14.56%,53377,19.81%,19201,7.13%,03
Moga (08),143743,564460.33,52868,36.78%,90875,63.22%,226874.95,40.19%,297659.88,52.73%,39925.5,7.07%,27985,19.47%,39432,27.43%,12431,8.65%,03
Firozpur (09),270011,553323.01,108035,40.01%,161976,59.99%,138785.45,25.08%,370834.1,67.02%,43703.46,7.9%,50905,18.85%,69120,25.6%,27333,10.12%,03
Muktsar (10),123773,68242.9,47936,38.73%,75837,61.27%,9720.5,14.24%,53544.98,78.46%,4977.42,7.29%,30614,24.73%,33119,26.76%,10050,8.12%,03
Faridkot (11),74717,2749178.55,30679,41.06%,44038,58.94%,1792401.6,65.2%,149003,5.42%,807773.95,29.38%,18499,24.76%,20303,27.17%,9131,12.22%,03
Bathinda (12),159138,456830.3,74588,46.87%,84550,53.13%,73911.87,16.18%,356331.27,78%,26587.16,5.82%,41421,26.03%,47524,29.86%,19439,12.22%,03
Mansa (13),114443,218031.89,50478,44.11%,63965,55.89%,53674.14,24.62%,150074.2,68.83%,14283.55,6.55%,25658,22.42%,31284,27.34%,13964,12.2%,03
Patiala (14),213729,343234.32,71658,33.53%,142071,66.47%,84160.25,24.52%,213688.42,62.26%,45385.65,13.22%,35627,16.67%,50393,23.58%,21555,10.09%,03
Amritsar (15),206172,471063.63,55295,26.82%,150877,73.18%,219826.4,46.67%,213142.65,45.25%,38094.58,8.09%,25876,12.55%,35066,17.01%,10909,5.29%,03
Tarn Taran (16),165688,230563.97,70314,42.44%,95374,57.56%,38037.16,16.5%,177370.81,76.93%,15156,6.57%,26741,16.14%,46908,28.31%,14493,8.75%,03
Rupnagar (17),94482,87088.91,39429,41.73%,55053,58.27%,23395.78,26.86%,53089.43,60.96%,10603.71,12.18%,9777,10.35%,15554,16.46%,4126,4.37%,03
Sahibzada Ajit Singh Nagar (18),85222,108799.18,25918,30.41%,59304,69.59%,36480.91,33.53%,59917.38,55.07%,12400.9,11.4%,11404,13.38%,13661,16.03%,2843,3.34%,03
Sangrur (19),214234,60973.34,91373,42.65%,122861,57.35%,8704.73,14.28%,47635.8,78.13%,4632.81,7.6%,47265,22.06%,67459,31.49%,32928,15.37%,03
Barnala (20),74374,27071.86,32869,44.19%,41505,55.81%,3861.15,14.26%,20961.16,77.43%,2249.55,8.31%,18760,25.22%,25239,33.94%,13418,18.04%,03
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,04
UT Zone Total,1338560,1208989.38,113689,8.49%,1224870,91.51%,680348.5,56.27%,311758.53,25.79%,216882.36,17.94%,53417,3.99%,99376,7.42%,43136,3.22%,04
State Total,15657,2291.51,362,2.31%,15295,97.69%,697.55,30.44%,1026.46,44.79%,567.5,24.77%,310,1.98%,466,2.98%,50,0.32%,04
CHANDIGARH DISTRICT (01),15657,2291.51,362,2.31%,15295,97.69%,697.55,30.44%,1026.46,44.79%,567.5,24.77%,310,1.98%,466,2.98%,50,0.32%,04
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,05
Central Zone Total,43325279,131151553.98,22735210,52.48%,20588684,47.52%,42711554.85,32.57%,62876752.75,47.94%,25565605.81,19.49%,2229898,5.15%,6276443,14.49%,2852142,6.58%,05
State Total,1479742,5814552.16,838974,56.7%,640768,43.3%,3174017.93,54.59%,1814331.45,31.2%,826202.82,14.21%,54261,3.67%,87594,5.92%,59135,4%,05
Uttarkashi (01),64836,123381.89,48714,75.13%,16122,24.87%,58379.82,47.32%,42241.22,34.24%,22760.85,18.45%,255,0.39%,187,0.29%,2305,3.56%,05
Chamoli (02),70323,90785.41,57516,81.79%,12807,18.21%,49551.88,54.58%,33874.39,37.31%,7359.14,8.11%,540,0.77%,493,0.7%,803,1.14%,05
Rudraprayag (03),48830,1231109.08,39705,81.31%,9125,18.69%,1096947.81,89.1%,33422.45,2.71%,100738.82,8.18%,257,0.53%,268,0.55%,294,0.6%,05
TehriGarhwal (04),119766,1309103.18,92710,77.41%,27056,22.59%,614293.08,46.92%,445716.79,34.05%,249093.32,19.03%,833,0.7%,407,0.34%,1321,1.1%,05
Dehradun (05),165649,710764.65,42787,25.83%,122862,74.17%,204086.84,28.71%,364927.48,51.34%,141750.33,19.94%,3227,1.95%,4141,2.5%,7100,4.29%,05
Garhwal (06),140122,279925.52,107977,77.06%,32145,22.94%,227990.9,81.45%,29952.47,10.7%,21982.15,7.85%,1143,0.82%,998,0.71%,996,0.71%,05
Pithoragarh (07),91906,100563.75,80451,87.54%,11455,12.46%,59788.34,59.45%,27363.11,27.21%,13412.3,13.34%,393,0.43%,678,0.74%,1510,1.64%,05
Bageshwar (08),53420,99593.3,42981,80.46%,10439,19.54%,57276.64,57.51%,29030.3,29.15%,13286.37,13.34%,416,0.78%,254,0.48%,462,0.86%,05
Almora (09),125275,238978.94,100490,80.22%,24785,19.78%,141158.71,59.07%,67305.63,28.16%,30514.6,12.77%,1091,0.87%,1147,0.92%,1648,1.32%,05
Champawat (10),44150,402105.35,33477,75.83%,10673,24.17%,191780.15,47.69%,131323.07,32.66%,79002.13,19.65%,530,1.2%,1712,3.88%,761,1.72%,05
Nainital (11),117469,183413.76,60796,51.75%,56673,48.25%,65166.95,35.53%,88489.69,48.25%,29757.13,16.22%,3000,2.55%,4715,4.01%,3407,2.9%,05
UdhamSinghNagar (12),206204,490058.98,74106,35.94%,132098,64.06%,175183.61,35.75%,267294.53,54.54%,47580.85,9.71%,18532,8.99%,35468,17.2%,15756,7.64%,05
Hardwar (13),231792,554768.35,57264,24.7%,174528,75.3%,232413.2,41.89%,253390.32,45.67%,68964.83,12.43%,24044,10.37%,37126,16.02%,22772,9.82%,05
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,06
North Zone Total,9104338,40686145.69,4695989,51.58%,4406332,48.4%,18193376.37,44.72%,16718610.08,41.09%,5774257.8,14.19%,936364,10.28%,1543602,16.95%,635411,6.98%,06
State Total,2969509,16900643.55,1307367,44.03%,1660126,55.91%,5876873.03,34.77%,8604554.37,50.91%,2419216.19,14.31%,342367,11.53%,699011,23.54%,286030,9.63%,06
Panchkula (01),47620,76390.92,15193,31.9%,32427,68.1%,33574.46,43.95%,34733.17,45.47%,8083.29,10.58%,2778,5.83%,3170,6.66%,637,1.34%,06
Ambala (02),114196,1477402.17,35684,31.25%,78510,68.75%,98188.73,6.65%,1351710.41,91.49%,27503.03,1.86%,13060,11.44%,17800,15.59%,8671,7.59%,06
Yamunanagar (03),132327,332561.72,41425,31.31%,90902,68.69%,94573.08,28.44%,193532.21,58.19%,44456.43,13.37%,16195,12.24%,23495,17.76%,10705,8.09%,06
Kurukshetra (04),129992,765199.59,44398,34.15%,85588,65.84%,218906.01,28.61%,371874.48,48.6%,174419.1,22.79%,16795,12.92%,29033,22.33%,13983,10.76%,06
Kaithal (05),152125,3501191.79,71281,46.86%,80830,53.13%,1644288.84,46.96%,1246027.5,35.59%,610875.45,17.45%,16118,10.6%,46886,30.82%,18958,12.46%,06
Karnal (06),183992,534788.64,64608,35.11%,119370,64.88%,207582.58,38.82%,289785.71,54.19%,37420.35,7%,20920,11.37%,41248,22.42%,17944,9.75%,06
Panipat (07),115331,1290985.7,39200,33.99%,76108,65.99%,577450.63,44.73%,612889.68,47.47%,100645.39,7.8%,11334,9.83%,30612,26.54%,6637,5.75%,06
Sonipat (08),178864,487452.34,76195,42.6%,102661,57.4%,188318.03,38.63%,233779.18,47.96%,65355.13,13.41%,21804,12.19%,46778,26.15%,11990,6.7%,06
Jind (09),185184,720135.32,101829,54.99%,83355,45.01%,215100.48,29.87%,424335.67,58.92%,80699.18,11.21%,22461,12.13%,62598,33.8%,26790,14.47%,06
Fatehabad (10),138546,521848.46,60190,43.44%,78345,56.55%,136199.3,26.1%,354051.95,67.85%,31597.21,6.05%,21793,15.73%,33024,23.84%,18602,13.43%,06
Sirsa (11),175850,1832338.63,71866,40.87%,103929,59.1%,500667.5,27.32%,1060883.42,57.9%,270787.71,14.78%,39051,22.21%,50881,28.93%,29896,17%,06
Hisar (12),224387,901586.21,117388,52.31%,106940,47.66%,307480,34.1%,515786.58,57.21%,78319.63,8.69%,25600,11.41%,58506,26.07%,28796,12.83%,06
Bhiwani (13),244308,1164990.06,135460,55.45%,108834,44.55%,530215.17,45.51%,506274.23,43.46%,128500.66,11.03%,23601,9.66%,58023,23.75%,27162,11.12%,06
Rohtak (14),109762,383626.21,57621,52.5%,52088,47.46%,141025.91,36.76%,172850.53,45.06%,69749.78,18.18%,13777,12.55%,28306,25.79%,10443,9.51%,06
Jhajjar (15),126621,880081.43,67159,53.04%,59461,46.96%,358265.17,40.71%,291362.51,33.11%,230453.75,26.19%,16611,13.12%,32913,25.99%,11039,8.72%,06
Mahendragarh (16),144210,428722.37,79331,55.01%,64873,44.99%,160915.04,37.53%,207914.85,48.5%,59892.48,13.97%,8558,5.93%,29397,20.38%,11511,7.98%,06
Rewari (17),133065,292508.08,65417,49.16%,67634,50.83%,77537.8,26.51%,191768.26,65.56%,23202.03,7.93%,9984,7.5%,29914,22.48%,10743,8.07%,06
Gurgaon (18),95792,198254.08,37212,38.85%,56878,59.38%,73170.55,36.91%,104473.34,52.7%,20610.19,10.4%,10250,10.7%,22859,23.86%,6771,7.07%,06
Mewat (19),140478,327463.14,51593,36.73%,88861,63.26%,128709.61,39.31%,152765.88,46.65%,45987.65,14.04%,11837,8.43%,22054,15.7%,5223,3.72%,06
Faridabad (20),66824,368846.91,20222,30.26%,46598,69.73%,46927.24,12.72%,88963.03,24.12%,232956.65,63.16%,5416,8.1%,8153,12.2%,1521,2.28%,06
Palwal (21),130035,414269.78,54095,41.6%,75934,58.4%,137776.9,33.26%,198791.78,47.99%,77701.1,18.76%,14424,11.09%,23361,17.97%,8008,6.16%,06
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,07
UT Zone Total,1338560,1208989.38,113689,8.49%,1224870,91.51%,680348.5,56.27%,311758.53,25.79%,216882.36,17.94%,53417,3.99%,99376,7.42%,43136,3.22%,07
State Total,1051097,768837.98,68945,6.56%,982152,93.44%,364153.16,47.36%,230978.42,30.04%,173706.43,22.59%,48760,4.64%,89674,8.53%,39010,3.71%,07
North West (01),299316,119864.73,15762,5.27%,283554,94.73%,34255.62,28.58%,62721.96,52.33%,22887.16,19.09%,13664,4.57%,16018,5.35%,13153,4.39%,07
North (02),51632,59799.01,1746,3.38%,49886,96.62%,54041.61,90.37%,2897.9,4.85%,2859.5,4.78%,2771,5.37%,3951,7.65%,1379,2.67%,07
North East (03),194939,106867.15,16264,8.34%,178675,91.66%,23421.53,21.92%,66166.75,61.91%,17278.87,16.17%,15241,7.82%,15214,7.8%,14394,7.38%,07
East (04),93117,160138.07,2238,2.4%,90879,97.6%,98861.67,61.74%,20390.71,12.73%,40885.69,25.53%,6106,6.56%,6767,7.27%,4827,5.18%,07
West (07),124338,66672.07,3512,2.82%,120826,97.18%,32945.37,49.41%,20284.77,30.42%,13441.94,20.16%,2582,2.08%,7368,5.93%,1002,0.81%,07
South West (08),112653,67703.41,8302,7.37%,104351,92.63%,24093.46,35.59%,30019.13,44.34%,13590.83,20.07%,2642,2.35%,9568,8.49%,1772,1.57%,07
South (09),175102,187793.54,21121,12.06%,153981,87.94%,96533.9,51.4%,28497.2,15.17%,62762.44,33.42%,5754,3.29%,30788,17.58%,2483,1.42%,07
All India Total,179787454,1058786043.81,78355329,43.58%,101422599,56.41%,428413840.52,40.46%,389500635.79,36.79%,240904708.68,22.75%,7369947,4.1%,17669303,9.83%,6484625,3.61%,08
West Zone Total,31206237,136781601.32,15863429,50.83%,15342304,49.16%,69400500.2,50.74%,48184458.07,35.23%,19196704.68,14.03%,1457739,4.67%,4187787,13.42%,1425070,4.57%,08
State Total,10223073,51909263.42,6341873,62.03%,3880917,37.96%,27478746.17,52.94%,18358469.55,35.37%,6072047.67,11.7%,522492,5.11%,1736809,16.99%,860480,8.42%,08
Ganganagar (01),287488,1922610.81,116839,40.64%,170649,59.36%,631265.5,32.83%,1157269.91,60.19%,134075.41,6.97%,41687,14.5%,33004,11.48%,41176,14.32%,08
Hanumangarh (02),275589,3416466.56,165428,60.03%,110161,39.97%,1374443.66,40.23%,1856722.79,54.35%,185300.11,5.42%,32909,11.94%,45131,16.38%,46721,16.95%,08
Bikaner (03),261329,3084792.98,159198,60.92%,102131,39.08%,2202081.38,71.39%,673099.46,21.82%,209612.13,6.8%,10205,3.91%,16423,6.28%,25471,9.75%,08
Churu (04),276699,2313658.51,218220,78.87%,58479,21.13%,2021073.65,87.35%,202812.45,8.77%,89772.41,3.88%,5667,2.05%,11210,4.05%,27476,9.93%,08
Jhunjhunun (05),317727,983046.29,231616,72.9%,86111,27.1%,487079.77,49.55%,412701.29,41.98%,83265.23,8.47%,9540,3%,81695,25.71%,30085,9.47%,08
Alwar (06),529224,1473636.16,305809,57.78%,223415,42.22%,380437.21,25.82%,941070.38,63.86%,152128.58,10.32%,40899,7.73%,155720,29.42%,79261,14.98%,08
Bharatpur (07),343978,1024911.45,209410,60.88%,134568,39.12%,288814.67,28.18%,568096.2,55.43%,168000.58,16.39%,27530,8%,78397,22.79%,62542,18.18%,08
Dhaulpur (08),173796,343671.81,90657,52.16%,83139,47.84%,102757.96,29.9%,183082.06,53.27%,57831.79,16.83%,7903,4.55%,21000,12.08%,10725,6.17%,08
Karauli (09),250656,508216.81,124592,49.71%,126023,50.28%,239467.71,47.12%,183126.04,36.03%,85623.06,16.85%,9986,3.98%,40178,16.03%,10039,4.01%,08
Sawai Madhopur (10),221430,565585.09,117783,53.19%,103647,46.81%,236003.99,41.73%,248575.87,43.95%,81005.22,14.32%,11117,5.02%,55539,25.08%,16845,7.61%,08
Dausa (11),273196,647547.56,155661,56.98%,117535,43.02%,242689.93,37.48%,330978.42,51.11%,73879.21,11.41%,15082,5.52%,71692,26.24%,22848,8.36%,08
Jaipur (12),530477,2347159.36,296312,55.86%,234165,44.14%,1175568.61,50.08%,914770.26,38.97%,256820.48,10.94%,38065,7.18%,149597,28.2%,50667,9.55%,08
Sikar (13),369270,2158827.16,255385,69.16%,113885,30.84%,1034941.55,47.94%,995476.65,46.11%,128408.96,5.95%,14000,3.79%,97408,26.38%,56883,15.4%,08
Nagaur (14),523798,4765816.4,371187,70.86%,152611,29.14%,2536021.74,53.21%,2033162.8,42.66%,196631.86,4.13%,20008,3.82%,38763,7.4%,32091,6.13%,08
Jodhpur (15),460672,2772905.87,333832,72.47%,126840,27.53%,2018798.54,72.8%,515718.39,18.6%,238388.94,8.6%,28619,6.21%,36586,7.94%,25250,5.48%,08
Jaisalmer (16),110525,835786.98,50555,45.74%,59912,54.21%,572637.21,68.51%,211012.4,25.25%,52137.37,6.24%,3937,3.56%,2764,2.5%,6971,6.31%,08
Barmer (17),481147,3298576.43,359981,74.82%,121166,25.18%,2515845.85,76.27%,437559.84,13.27%,345170.75,10.46%,20030,4.16%,36797,7.65%,32437,6.74%,08
Jalor (18),324662,1617055.44,221035,68.08%,103627,31.92%,849281.11,52.52%,539410.66,33.36%,228363.66,14.12%,35882,11.05%,70405,21.69%,38500,11.86%,08
Sirohi (19),170212,443149.73,90036,52.9%,80176,47.1%,178767.37,40.34%,210329.98,47.46%,54052.37,12.2%,8361,4.91%,37826,22.22%,9086,5.34%,08
Pali (20),352690,5841202.13,197804,56.08%,154886,43.92%,2887377.64,49.43%,1743479.69,29.85%,1210344.8,20.72%,15015,4.26%,47502,13.47%,21786,6.18%,08
Ajmer (21),315014,1087722.11,201965,64.11%,113049,35.89%,627600.39,57.7%,275104.73,25.29%,185016.99,17.01%,13414,4.26%,47384,15.04%,21212,6.73%,08
Tonk (22),233901,1060319.56,151261,64.67%,82638,35.33%,575012.66,54.23%,315690.49,29.77%,169616.4,16%,16258,6.95%,61269,26.19%,24688,10.55%,08
Bundi (23),197992,425954.38,98561,49.78%,99431,50.22%,143340.84,33.65%,242774.48,57%,39839.06,9.35%,12457,6.29%,45317,22.89%,21790,11.01%,08
Bhilwara (24),419347,994173.17,279919,66.75%,139246,33.21%,476306.92,47.91%,327355.98,32.93%,190510.28,19.16%,12275,2.93%,79547,18.97%,21163,5.05%,08
Rajsamand (25),220162,400873.09,146255,66.43%,73907,33.57%,210509.76,52.51%,130796.35,32.63%,59566.97,14.86%,3963,1.8%,29286,13.3%,3155,1.43%,08
Dungarpur (26),298430,270635.82,190384,63.8%,108046,36.2%,162854.26,60.17%,69472.11,25.67%,38309.45,14.16%,3347,1.12%,12178,4.08%,3193,1.07%,08
Banswara (27),357369,398900.13,255245,71.42%,102124,28.58%,214740.17,53.83%,133175.4,33.39%,50984.55,12.78%,4397,1.23%,7042,1.97%,5603,1.57%,08
Chittaurgarh (28),277402,808117.98,182476,65.78%,94926,34.22%,341152.12,42.22%,371331.25,45.95%,95634.61,11.83%,9676,3.49%,90704,32.7%,19128,6.9%,08
Kota (29),170991,483402.61,70256,41.09%,100735,58.91%,152511.7,31.55%,263850.86,54.58%,67040.05,13.87%,11383,6.66%,30052,17.58%,21307,12.46%,08
Baran (30),212554,621349.13,100186,47.13%,112368,52.87%,184174.52,29.64%,366390.56,58.97%,70784.05,11.39%,16564,7.79%,48002,22.58%,31408,14.78%,08
Jhalawar (31),260405,688938.01,133785,51.38%,126620,48.62%,241072.41,34.99%,358733.64,52.07%,89131.97,12.94%,10177,3.91%,71744,27.55%,25967,9.97%,08
Udaipur (32),546877,3806516.61,340922,62.34%,205955,37.66%,1890540.4,49.67%,978759.73,25.71%,937216.48,24.62%,8242,1.51%,52167,9.54%,6441,1.18%,08
Pratapgarh (33),178064,497737.29,119318,67.01%,58746,32.99%,283574.97,56.97%,166578.43,33.47%,47583.89,9.56%,3897,2.19%,34480,19.36%,8565,4.81%,08
