District Name,Total Households,Refrigerator,% Refrigerator,Telephone/Mobile phone - 1 = Landline only,Telephone/Mobile phone - % 1 = Landline only,Telephone/Mobile phone - 2 = Mobile only,Telephone/Mobile phone - % 2 = Mobile only,Telephone/Mobile phone - 3 = Both (Landline and Mobile),Telephone/Mobile phone - % 3 = Both (Landline and Mobile),Telephone/Mobile phone - 4 = NO,Telephone/Mobile phone - % 4 = NO,Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,% Motorized Two/Three/Four Wheelers or Motorized Fishing Boat requiring registration,State_Code
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,01
North Zone Total,9104338,4148545,45.57%,98041,1.08%,7255023,79.69%,432080,4.75%,1318615,14.48%,3132980,34.41%,01
State Total,1601606,288433,18.01%,15479,0.97%,1153745,72.04%,34011,2.12%,398371,24.87%,193030,12.05%,01
Kupwara (01),107636,5099,4.74%,937,0.87%,75663,70.3%,1308,1.22%,29728,27.62%,8157,7.58%,01
Badgam (02),97773,9762,9.98%,343,0.35%,76804,78.55%,2220,2.27%,18406,18.83%,9638,9.86%,01
Leh(Ladakh) (03),17723,1038,5.86%,1991,11.23%,7346,41.45%,1854,10.46%,6532,36.86%,9148,51.62%,01
Kargil (04),15923,620,3.89%,1246,7.83%,6837,42.94%,685,4.3%,7155,44.93%,5526,34.7%,01
Punch (05),81685,4330,5.3%,1406,1.72%,48298,59.13%,1185,1.45%,30796,37.7%,2880,3.53%,01
Rajouri (06),127822,22039,17.24%,1411,1.1%,83296,65.17%,1524,1.19%,41591,32.54%,7695,6.02%,01
Kathua (07),99768,37872,37.96%,1020,1.02%,77991,78.17%,3049,3.06%,17708,17.75%,17498,17.54%,01
Baramula (08),123540,9665,7.82%,536,0.43%,98753,79.94%,2042,1.65%,22209,17.98%,10742,8.7%,01
Bandipore (09),47848,2829,5.91%,381,0.8%,30913,64.61%,643,1.34%,15911,33.25%,5231,10.93%,01
Srinagar (10),4304,1263,29.34%,11,0.26%,3832,89.03%,72,1.67%,389,9.04%,885,20.56%,01
Ganderbal (11),40450,2897,7.16%,280,0.69%,32572,80.52%,703,1.74%,6895,17.05%,3572,8.83%,01
Pulwama (12),79308,7724,9.74%,305,0.38%,65061,82.04%,1958,2.47%,11984,15.11%,7987,10.07%,01
Shupiyan (13),42691,2152,5.04%,197,0.46%,33759,79.08%,651,1.52%,8084,18.94%,6137,14.38%,01
Anantnag (14),123476,6557,5.31%,519,0.42%,96255,77.95%,2013,1.63%,24689,19.99%,8766,7.1%,01
Kulgam (15),61426,1787,2.91%,163,0.27%,39147,63.73%,526,0.86%,21590,35.15%,3323,5.41%,01
Doda (16),74110,5780,7.8%,260,0.35%,55565,74.98%,524,0.71%,17761,23.97%,2382,3.21%,01
Ramban (17),55171,3008,5.45%,94,0.17%,31708,57.47%,290,0.53%,23079,41.83%,1068,1.94%,01
Kishtwar (18),42273,3381,8%,87,0.21%,20398,48.25%,304,0.72%,21484,50.82%,1944,4.6%,01
Udhampur (19),79845,17645,22.1%,259,0.32%,61465,76.98%,1691,2.12%,16430,20.58%,5838,7.31%,01
Reasi (20),52339,9609,18.36%,825,1.58%,34513,65.94%,734,1.4%,16267,31.08%,3473,6.64%,01
Jammu (21),170917,96683,56.57%,2131,1.25%,126416,73.96%,8180,4.79%,34190,20%,50881,29.77%,01
Samba (22),55578,36693,66.02%,1077,1.94%,47153,84.84%,1855,3.34%,5493,9.88%,20259,36.45%,01
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,02
North Zone Total,9104338,4148545,45.57%,98041,1.08%,7255023,79.69%,432080,4.75%,1318615,14.48%,3132980,34.41%,02
State Total,1263756,531266,42.04%,21031,1.66%,992290,78.52%,127333,10.08%,123102,9.74%,251529,19.9%,02
Chamba (01),92274,23671,25.65%,1121,1.21%,73582,79.74%,3506,3.8%,14065,15.24%,8766,9.5%,02
Kangra (02),309461,175025,56.56%,5394,1.74%,244021,78.85%,33603,10.86%,26443,8.54%,75829,24.5%,02
LahulSpiti (03),6177,259,4.19%,322,5.21%,3655,59.17%,901,14.59%,1299,21.03%,954,15.44%,02
Kullu (04),79798,16583,20.78%,411,0.52%,68752,86.16%,2902,3.64%,7733,9.69%,10014,12.55%,02
Mandi (05),198952,63834,32.09%,3908,1.96%,146534,73.65%,23501,11.81%,25009,12.57%,27305,13.72%,02
Hamirpur (06),96745,54862,56.71%,2425,2.51%,69316,71.65%,17130,17.71%,7874,8.14%,18165,18.78%,02
Una (07),97451,60362,61.94%,1372,1.41%,79029,81.1%,7675,7.88%,9375,9.62%,37403,38.38%,02
Bilaspur (08),70768,33106,46.78%,1828,2.58%,50798,71.78%,10758,15.2%,7384,10.43%,12971,18.33%,02
Solan (09),90043,43414,48.21%,2039,2.26%,67686,75.17%,13711,15.23%,6607,7.34%,26200,29.1%,02
Sirmaur (10),82214,22820,27.76%,729,0.89%,69653,84.72%,2490,3.03%,9342,11.36%,15227,18.52%,02
Shimla (11),121586,34191,28.12%,1189,0.98%,105248,86.56%,8856,7.28%,6293,5.18%,15903,13.08%,02
Kinnaur (12),18287,3139,17.17%,293,1.6%,14016,76.64%,2300,12.58%,1678,9.18%,2792,15.27%,02
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,03
North Zone Total,9104338,4148545,45.57%,98041,1.08%,7255023,79.69%,432080,4.75%,1318615,14.48%,3132980,34.41%,03
State Total,3269467,2171673,66.42%,42734,1.31%,2599688,79.51%,204062,6.24%,422983,12.94%,1672686,51.16%,03
Gurdaspur (01),297035,206262,69.44%,7837,2.64%,230975,77.76%,13715,4.62%,44508,14.98%,152056,51.19%,03
Kapurthala (02),104862,87143,83.1%,861,0.82%,90961,86.74%,4385,4.18%,8655,8.25%,64912,61.9%,03
Jalandhar (03),214994,176204,81.96%,2382,1.11%,176313,82.01%,21032,9.78%,15267,7.1%,127652,59.37%,03
Hoshiarpur (04),263563,190887,72.43%,3886,1.47%,205703,78.05%,25607,9.72%,28367,10.76%,144082,54.67%,03
Shahid Bhagat Singh Nagar (05),103553,79014,76.3%,1619,1.56%,79475,76.75%,14415,13.92%,8044,7.77%,56355,54.42%,03
Fatehgarh Sahib (06),76287,53267,69.82%,523,0.69%,57757,75.71%,5463,7.16%,12544,16.44%,44186,57.92%,03
Ludhiana (07),269447,189106,70.18%,5108,1.9%,199330,73.98%,28442,10.56%,36567,13.57%,150429,55.83%,03
Moga (08),143743,93579,65.1%,1064,0.74%,114410,79.59%,7810,5.43%,20459,14.23%,66365,46.17%,03
Firozpur (09),270011,135460,50.17%,1228,0.45%,207108,76.7%,10379,3.84%,51296,19%,112952,41.83%,03
Muktsar (10),123773,66098,53.4%,1197,0.97%,98417,79.51%,6757,5.46%,17402,14.06%,50012,40.41%,03
Faridkot (11),74717,45646,61.09%,556,0.74%,63770,85.35%,3682,4.93%,6709,8.98%,37620,50.35%,03
Bathinda (12),159138,95822,60.21%,1423,0.89%,134884,84.76%,6260,3.93%,16571,10.41%,70785,44.48%,03
Mansa (13),114443,55147,48.19%,794,0.69%,89396,78.11%,3363,2.94%,20890,18.25%,40317,35.23%,03
Patiala (14),213729,140532,65.75%,1711,0.8%,179592,84.03%,8105,3.79%,24321,11.38%,116317,54.42%,03
Amritsar (15),206172,139558,67.69%,3908,1.9%,167575,81.28%,3564,1.73%,31125,15.1%,108124,52.44%,03
Tarn Taran (16),165688,110218,66.52%,1796,1.08%,140243,84.64%,1834,1.11%,21815,13.17%,80639,48.67%,03
Rupnagar (17),94482,65751,69.59%,1214,1.28%,77309,81.82%,6301,6.67%,9658,10.22%,55485,58.73%,03
Sahibzada Ajit Singh Nagar (18),85222,58947,69.17%,1134,1.33%,73684,86.46%,2353,2.76%,8051,9.45%,50231,58.94%,03
Sangrur (19),214234,132717,61.95%,3471,1.62%,156546,73.07%,22516,10.51%,31701,14.8%,107717,50.28%,03
Barnala (20),74374,50315,67.65%,1022,1.37%,56240,75.62%,8079,10.86%,9033,12.15%,36450,49.01%,03
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,04
UT Zone Total,1338560,780191,58.29%,47515,3.55%,1140574,85.21%,54310,4.06%,96160,7.18%,631236,47.16%,04
State Total,15657,7373,47.09%,36,0.23%,14344,91.61%,550,3.51%,727,4.64%,5796,37.02%,04
CHANDIGARH DISTRICT (01),15657,7373,47.09%,36,0.23%,14344,91.61%,550,3.51%,727,4.64%,5796,37.02%,04
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,05
Central Zone Total,43325279,3171123,7.32%,238721,0.55%,30414807,70.2%,450403,1.04%,12220529,28.21%,9399653,21.7%,05
State Total,1479742,340968,23.04%,11192,0.76%,1281517,86.6%,26185,1.77%,160758,10.86%,344556,23.28%,05
Uttarkashi (01),64836,5756,8.88%,384,0.59%,47874,73.84%,573,0.88%,16005,24.69%,3623,5.59%,05
Chamoli (02),70323,5083,7.23%,488,0.69%,57840,82.25%,1413,2.01%,10582,15.05%,3073,4.37%,05
Rudraprayag (03),48830,5054,10.35%,319,0.65%,45030,92.22%,751,1.54%,2730,5.59%,10715,21.94%,05
TehriGarhwal (04),119766,12924,10.79%,505,0.42%,107652,89.89%,954,0.8%,10655,8.9%,9643,8.05%,05
Dehradun (05),165649,90294,54.51%,1467,0.89%,147078,88.79%,4975,3%,12129,7.32%,77574,46.83%,05
Garhwal (06),140122,29010,20.7%,1502,1.07%,122264,87.26%,3115,2.22%,13241,9.45%,17210,12.28%,05
Pithoragarh (07),91906,10189,11.09%,705,0.77%,68116,74.11%,1764,1.92%,21321,23.2%,4976,5.41%,05
Bageshwar (08),53420,5579,10.44%,280,0.52%,43636,81.68%,632,1.18%,8798,16.47%,2377,4.45%,05
Almora (09),125275,9249,7.38%,1203,0.96%,111446,88.96%,3089,2.47%,9537,7.61%,5187,4.14%,05
Champawat (10),44150,5975,13.53%,414,0.94%,36321,82.27%,572,1.3%,6843,15.5%,5113,11.58%,05
Nainital (11),117469,40634,34.59%,1318,1.12%,103253,87.9%,2944,2.51%,9938,8.46%,35417,30.15%,05
UdhamSinghNagar (12),206204,62085,30.11%,1124,0.55%,184500,89.47%,3332,1.62%,17248,8.36%,81268,39.41%,05
Hardwar (13),231792,59136,25.51%,1483,0.64%,206507,89.09%,2071,0.89%,21731,9.38%,88380,38.13%,05
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,06
North Zone Total,9104338,4148545,45.57%,98041,1.08%,7255023,79.69%,432080,4.75%,1318615,14.48%,3132980,34.41%,06
State Total,2969509,1157173,38.97%,18797,0.63%,2509300,84.5%,66674,2.25%,374159,12.6%,1015735,34.21%,06
Panchkula (01),47620,23821,50.02%,379,0.8%,38843,81.57%,1342,2.82%,7056,14.82%,19142,40.2%,06
Ambala (02),114196,48127,42.14%,916,0.8%,93750,82.1%,4333,3.79%,15195,13.31%,47110,41.25%,06
Yamunanagar (03),132327,48638,36.76%,971,0.73%,105370,79.63%,3352,2.53%,22634,17.1%,53958,40.78%,06
Kurukshetra (04),129992,60404,46.47%,553,0.43%,106275,81.76%,4257,3.27%,18901,14.54%,52571,40.44%,06
Kaithal (05),152125,54876,36.07%,536,0.35%,130941,86.07%,2524,1.66%,18110,11.9%,48721,32.03%,06
Karnal (06),183992,67285,36.57%,482,0.26%,153021,83.17%,2275,1.24%,28200,15.33%,70200,38.15%,06
Panipat (07),115331,45805,39.72%,701,0.61%,97504,84.54%,2039,1.77%,15064,13.06%,41158,35.69%,06
Sonipat (08),178864,82070,45.88%,1093,0.61%,153668,85.91%,3609,2.02%,20486,11.45%,59950,33.52%,06
Jind (09),185184,66662,36%,990,0.53%,162362,87.68%,4462,2.41%,17370,9.38%,52359,28.27%,06
Fatehabad (10),138546,50327,36.33%,504,0.36%,114857,82.9%,3148,2.27%,20026,14.45%,46289,33.41%,06
Sirsa (11),175850,66673,37.91%,2390,1.36%,146464,83.29%,5986,3.4%,20794,11.82%,64058,36.43%,06
Hisar (12),224387,75947,33.85%,994,0.44%,192267,85.69%,4365,1.95%,26702,11.9%,64904,28.93%,06
Bhiwani (13),244308,91670,37.52%,1937,0.79%,209517,85.76%,4349,1.78%,28491,11.66%,59080,24.18%,06
Rohtak (14),109762,53977,49.18%,597,0.54%,97678,88.99%,2045,1.86%,9389,8.55%,33201,30.25%,06
Jhajjar (15),126621,61640,48.68%,1511,1.19%,105928,83.66%,2884,2.28%,16297,12.87%,39640,31.31%,06
Mahendragarh (16),144210,49422,34.27%,572,0.4%,125354,86.92%,3722,2.58%,14556,10.09%,45623,31.64%,06
Rewari (17),133065,57613,43.3%,1006,0.76%,110822,83.28%,5023,3.77%,16200,12.17%,50513,37.96%,06
Gurgaon (18),95792,52043,54.33%,312,0.33%,84987,88.72%,1942,2.03%,8529,8.9%,45039,47.02%,06
Mewat (19),140478,30133,21.45%,1179,0.84%,119410,85%,1346,0.96%,18519,13.18%,42365,30.16%,06
Faridabad (20),66824,29212,43.71%,286,0.43%,55017,82.33%,993,1.49%,10442,15.63%,31660,47.38%,06
Palwal (21),130035,40828,31.4%,888,0.68%,105265,80.95%,2678,2.06%,21198,16.3%,48194,37.06%,06
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,07
UT Zone Total,1338560,780191,58.29%,47515,3.55%,1140574,85.21%,54310,4.06%,96160,7.18%,631236,47.16%,07
State Total,1051097,692751,65.91%,43719,4.16%,924746,87.98%,41229,3.92%,41403,3.94%,531213,50.54%,07
North West (01),299316,192997,64.48%,13253,4.43%,260457,87.02%,8279,2.77%,17327,5.79%,145388,48.57%,07
North (02),51632,34450,66.72%,411,0.8%,48587,94.1%,1428,2.77%,1206,2.34%,21294,41.24%,07
North East (03),194939,115085,59.04%,22962,11.78%,154191,79.1%,7087,3.64%,10699,5.49%,117546,60.3%,07
East (04),93117,72663,78.03%,2377,2.55%,82276,88.36%,6608,7.1%,1856,1.99%,57915,62.2%,07
West (07),124338,85817,69.02%,1336,1.07%,115582,92.96%,4075,3.28%,3345,2.69%,54635,43.94%,07
South West (08),112653,69659,61.84%,1226,1.09%,102736,91.2%,5380,4.78%,3311,2.94%,48341,42.91%,07
South (09),175102,122080,69.72%,2154,1.23%,160917,91.9%,8372,4.78%,3659,2.09%,86094,49.17%,07
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,08
West Zone Total,31206237,3696378,11.84%,386552,1.24%,19819488,63.51%,832413,2.67%,10167757,32.58%,7341018,23.52%,08
State Total,10223073,937819,9.17%,30882,0.3%,6739486,65.92%,198653,1.94%,3254052,31.83%,2080351,20.35%,08
Ganganagar (01),287488,68999,24%,1446,0.5%,214117,74.48%,11799,4.1%,60126,20.91%,63510,22.09%,08
Hanumangarh (02),275589,58758,21.32%,1371,0.5%,208922,75.81%,9748,3.54%,55548,20.16%,54315,19.71%,08
Bikaner (03),261329,16607,6.35%,652,0.25%,218311,83.54%,4002,1.53%,38364,14.68%,28008,10.72%,08
Churu (04),276699,26799,9.69%,1147,0.41%,197195,71.27%,7117,2.57%,71240,25.75%,21414,7.74%,08
Jhunjhunun (05),317727,76651,24.12%,1901,0.6%,264611,83.28%,15234,4.79%,35981,11.32%,59303,18.66%,08
Alwar (06),529224,97907,18.5%,1295,0.24%,402647,76.08%,10722,2.03%,114560,21.65%,159901,30.21%,08
Bharatpur (07),343978,49319,14.34%,664,0.19%,257467,74.85%,4128,1.2%,81719,23.76%,90259,26.24%,08
Dhaulpur (08),173796,9637,5.55%,286,0.16%,95783,55.11%,1580,0.91%,76147,43.81%,26927,15.49%,08
Karauli (09),250656,16648,6.64%,545,0.22%,161557,64.45%,3939,1.57%,84615,33.76%,41565,16.58%,08
Sawai Madhopur (10),221430,12336,5.57%,426,0.19%,145518,65.72%,3224,1.46%,72262,32.63%,37380,16.88%,08
Dausa (11),273196,22133,8.1%,917,0.34%,187622,68.68%,3763,1.38%,80894,29.61%,64942,23.77%,08
Jaipur (12),530477,65846,12.41%,1656,0.31%,414797,78.19%,10276,1.94%,103748,19.56%,182637,34.43%,08
Sikar (13),369270,58467,15.83%,1430,0.39%,305347,82.69%,11444,3.1%,51049,13.82%,72164,19.54%,08
Nagaur (14),523798,59784,11.41%,1755,0.34%,417990,79.8%,14159,2.7%,89894,17.16%,100815,19.25%,08
Jodhpur (15),460672,39562,8.59%,921,0.2%,365747,79.39%,6256,1.36%,87748,19.05%,109070,23.68%,08
Jaisalmer (16),110525,5404,4.89%,361,0.33%,75041,67.9%,1200,1.09%,33923,30.69%,10470,9.47%,08
Barmer (17),481147,18593,3.86%,1589,0.33%,271333,56.39%,6179,1.28%,202046,41.99%,46098,9.58%,08
Jalor (18),324662,14109,4.35%,866,0.27%,240050,73.94%,5300,1.63%,78446,24.16%,53420,16.45%,08
Sirohi (19),170212,10797,6.34%,394,0.23%,107493,63.15%,2903,1.71%,59422,34.91%,30857,18.13%,08
Pali (20),352690,24787,7.03%,2546,0.72%,258431,73.27%,11968,3.39%,79745,22.61%,91400,25.92%,08
Ajmer (21),315014,21967,6.97%,964,0.31%,222975,70.78%,5229,1.66%,85846,27.25%,89084,28.28%,08
Tonk (22),233901,12074,5.16%,541,0.23%,148172,63.35%,3883,1.66%,81305,34.76%,56210,24.03%,08
Bundi (23),197992,7839,3.96%,771,0.39%,109939,55.53%,1897,0.96%,85385,43.13%,41101,20.76%,08
Bhilwara (24),419347,22205,5.3%,940,0.22%,252719,60.26%,8161,1.95%,157527,37.56%,107203,25.56%,08
Rajsamand (25),220162,11524,5.23%,497,0.23%,148682,67.53%,3848,1.75%,67135,30.49%,53094,24.12%,08
Dungarpur (26),298430,11753,3.94%,530,0.18%,86534,29%,4676,1.57%,206690,69.26%,23096,7.74%,08
Banswara (27),357369,14573,4.08%,1176,0.33%,83604,23.39%,2910,0.81%,269679,75.46%,29779,8.33%,08
Chittaurgarh (28),277402,14435,5.2%,594,0.21%,169530,61.11%,5216,1.88%,102062,36.79%,79964,28.83%,08
Kota (29),170991,10782,6.31%,354,0.21%,117844,68.92%,2847,1.66%,49946,29.21%,47012,27.49%,08
Baran (30),212554,11810,5.56%,388,0.18%,133197,62.67%,2156,1.01%,76813,36.14%,52243,24.58%,08
Jhalawar (31),260405,10850,4.17%,532,0.2%,152347,58.5%,3914,1.5%,103612,39.79%,46701,17.93%,08
Udaipur (32),546877,28443,5.2%,1248,0.23%,239875,43.86%,7666,1.4%,298088,54.51%,84618,15.47%,08
Pratapgarh (33),178064,6421,3.61%,179,0.1%,64089,35.99%,1309,0.74%,112487,63.17%,25791,14.48%,08
All India Total,179787454,19785132,11%,1812487,1.01%,122734905,68.27%,4881392,2.72%,50352648,28.01%,37231701,20.71%,09
Central Zone Total,43325279,3171123,7.32%,238721,0.55%,30414807,70.2%,450403,1.04%,12220529,28.21%,9399653,21.7%,09
State Total,26015592,2225416,8.55%,194255,0.75%,22550465,86.68%,286169,1.1%,2984006,11.47%,6681978,25.68%,09
Saharanpur (01),418340,105679,25.26%,7307,1.75%,386372,92.36%,5855,1.4%,18806,4.5%,208102,49.74%,09
Muzaffarnagar (02),502344,109497,21.8%,7811,1.55%,453598,90.3%,5431,1.08%,35504,7.07%,287085,57.15%,09
Bijnor (03),495304,52142,10.53%,5543,1.12%,437550,88.34%,2530,0.51%,49681,10.03%,129131,26.07%,09
Moradabad (04),521305,54972,10.55%,1545,0.3%,466230,89.44%,3194,0.61%,50336,9.66%,158355,30.38%,09
Rampur (05),299340,31590,10.55%,9179,3.07%,253139,84.57%,2923,0.98%,34099,11.39%,98027,32.75%,09
Jyotiba Phule Nagar (06),228537,52363,22.91%,7309,3.2%,201454,88.15%,3563,1.56%,16207,7.09%,130114,56.93%,09
Meerut (07),261180,60807,23.28%,853,0.33%,237487,90.93%,3503,1.34%,19337,7.4%,94227,36.08%,09
Baghpat (08),161232,48336,29.98%,3739,2.32%,145865,90.47%,2091,1.3%,9537,5.92%,54516,33.81%,09
Ghaziabad (09),295081,110498,37.45%,9845,3.34%,252065,85.42%,5837,1.98%,27334,9.26%,131485,44.56%,09
Gautam Buddha Nagar (10),289590,165499,57.15%,20544,7.09%,235151,81.2%,8988,3.1%,24907,8.6%,192076,66.33%,09
Bulandshahr (11),427475,63170,14.78%,1581,0.37%,390802,91.42%,3978,0.93%,31114,7.28%,153126,35.82%,09
Aligarh (12),418563,47138,11.26%,1532,0.37%,382247,91.32%,2939,0.7%,31845,7.61%,113157,27.03%,09
Mahamaya Nagar (13),199901,45743,22.88%,3287,1.64%,168191,84.14%,2738,1.37%,25685,12.85%,89411,44.73%,09
Mathura (14),294772,62378,21.16%,1514,0.51%,262226,88.96%,4025,1.37%,27007,9.16%,135582,46%,09
Agra (15),375187,100905,26.89%,4978,1.33%,307101,81.85%,33525,8.94%,29111,7.76%,166962,44.5%,09
Firozabad (16),265386,31790,11.98%,1566,0.59%,234639,88.41%,2065,0.78%,27116,10.22%,86961,32.77%,09
Mainpuri (17),258844,19708,7.61%,2302,0.89%,229215,88.55%,1582,0.61%,25745,9.95%,59096,22.83%,09
Budaun (18),480817,20715,4.31%,2992,0.62%,398944,82.97%,4084,0.85%,74797,15.56%,115484,24.02%,09
Bareilly (19),475247,29510,6.21%,2070,0.44%,418505,88.06%,4756,1%,49916,10.5%,138251,29.09%,09
Pilibhit (20),303726,13598,4.48%,1530,0.5%,250963,82.63%,1323,0.44%,49910,16.43%,48709,16.04%,09
Shahjahanpur (21),405601,13214,3.26%,2491,0.61%,341621,84.23%,3184,0.79%,58305,14.37%,78509,19.36%,09
Kheri (22),640850,27057,4.22%,1473,0.23%,489170,76.33%,5223,0.82%,144984,22.62%,130789,20.41%,09
Sitapur (23),714977,19798,2.77%,1574,0.22%,539390,75.44%,4067,0.57%,169946,23.77%,114086,15.96%,09
Hardoi (24),617677,26076,4.22%,2923,0.47%,532349,86.19%,5615,0.91%,76790,12.43%,164817,26.68%,09
Unnao (25),481545,18241,3.79%,1317,0.27%,410024,85.15%,3745,0.78%,66458,13.8%,82577,17.15%,09
Lucknow (26),278203,33117,11.9%,633,0.23%,225769,81.15%,1954,0.7%,49847,17.92%,73546,26.44%,09
Rae Bareli (27),569800,29720,5.22%,1656,0.29%,494323,86.75%,5136,0.9%,68685,12.05%,108372,19.02%,09
Farrukhabad (28),249331,13109,5.26%,637,0.26%,218308,87.56%,1990,0.8%,28394,11.39%,44929,18.02%,09
Kannauj (29),237103,13328,5.62%,366,0.15%,201484,84.98%,1412,0.6%,33841,14.27%,42922,18.1%,09
Etawah (30),213944,18857,8.81%,1619,0.76%,183645,85.84%,1555,0.73%,27120,12.68%,39088,18.27%,09
Auraiya (31),209864,13967,6.66%,2035,0.97%,181207,86.34%,3082,1.47%,23540,11.22%,37287,17.77%,09
Kanpur Dehat (32),310765,19545,6.29%,915,0.29%,270299,86.98%,2887,0.93%,36664,11.8%,58560,18.84%,09
Kanpur Nagar (33),289213,21442,7.41%,2053,0.71%,241927,83.65%,1922,0.66%,43311,14.98%,63324,21.9%,09
Jalaun (34),211977,19020,8.97%,1837,0.87%,195476,92.22%,1215,0.57%,13449,6.34%,49079,23.15%,09
Jhansi (35),212906,18391,8.64%,1254,0.59%,193900,91.07%,1649,0.77%,16103,7.56%,48240,22.66%,09
Lalitpur (36),186311,6041,3.24%,1741,0.93%,158231,84.93%,858,0.46%,25481,13.68%,57114,30.66%,09
Hamirpur (37),174857,9110,5.21%,312,0.18%,156629,89.58%,1396,0.8%,16520,9.45%,27858,15.93%,09
Mahoba (38),127389,4912,3.86%,151,0.12%,113441,89.05%,540,0.42%,13257,10.41%,22526,17.68%,09
Banda (39),269240,8194,3.04%,1903,0.71%,233724,86.81%,2977,1.11%,30636,11.38%,51758,19.22%,09
Chitrakoot (40),152132,5578,3.67%,229,0.15%,127296,83.67%,721,0.47%,23886,15.7%,19626,12.9%,09
Fatehpur (41),415053,14758,3.56%,1174,0.28%,351414,84.67%,3094,0.75%,59371,14.3%,68482,16.5%,09
Pratapgarh (42),494720,23630,4.78%,1727,0.35%,452043,91.37%,4192,0.85%,36758,7.43%,128486,25.97%,09
Kaushambi (43),255994,11410,4.46%,1987,0.78%,222978,87.1%,1307,0.51%,29722,11.61%,42915,16.76%,09
Allahabad (44),705588,49599,7.03%,4214,0.6%,613819,86.99%,8853,1.25%,78702,11.15%,219897,31.17%,09
Bara Banki (45),533550,26490,4.96%,975,0.18%,437947,82.08%,3914,0.73%,90714,17%,120369,22.56%,09
Faizabad (46),377144,21574,5.72%,600,0.16%,327757,86.91%,2991,0.79%,45796,12.14%,71560,18.97%,09
Ambedkar Nagar (47),322410,16648,5.16%,777,0.24%,297965,92.42%,4084,1.27%,19584,6.07%,76094,23.6%,09
Sultanpur (48),563089,30263,5.37%,2248,0.4%,498962,88.61%,7310,1.3%,54569,9.69%,126346,22.44%,09
Bahraich (49),541484,14819,2.74%,9633,1.78%,410506,75.81%,3268,0.6%,118077,21.81%,64421,11.9%,09
Shrawasti (50),179481,6936,3.86%,513,0.29%,134428,74.9%,1580,0.88%,42960,23.94%,25703,14.32%,09
Balrampur (51),293520,10707,3.65%,648,0.22%,248357,84.61%,2655,0.9%,41860,14.26%,63180,21.52%,09
Gonda (52),523254,25166,4.81%,779,0.15%,450140,86.03%,5111,0.98%,67223,12.85%,101620,19.42%,09
Siddharthnagar (53),382311,14246,3.73%,1394,0.36%,342939,89.7%,2325,0.61%,35651,9.33%,78325,20.49%,09
Basti (54),385828,17633,4.57%,994,0.26%,346646,89.84%,2899,0.75%,35289,9.15%,78187,20.26%,09
Sant Kabir Nagar (55),243670,10444,4.29%,1621,0.67%,224183,92%,1625,0.67%,16241,6.67%,44314,18.19%,09
Mahrajganj (56),407828,14827,3.64%,572,0.14%,348032,85.34%,2918,0.72%,56306,13.81%,63167,15.49%,09
Gorakhpur (57),599152,30979,5.17%,1610,0.27%,527487,88.04%,5481,0.91%,64574,10.78%,108931,18.18%,09
Kushinagar (58),574969,17415,3.03%,726,0.13%,510591,88.8%,4119,0.72%,59533,10.35%,78967,13.73%,09
Deoria (59),450667,22344,4.96%,3316,0.74%,413620,91.78%,2091,0.46%,31640,7.02%,82495,18.31%,09
Azamgarh (60),615199,65180,10.59%,13138,2.14%,573024,93.14%,12526,2.04%,16312,2.65%,249749,40.6%,09
Mau (61),262251,14851,5.66%,1578,0.6%,237941,90.73%,3832,1.46%,18900,7.21%,59939,22.86%,09
Ballia (62),426709,18360,4.3%,810,0.19%,380451,89.16%,3762,0.88%,41686,9.77%,71738,16.81%,09
Jaunpur (63),596098,42227,7.08%,7074,1.19%,555889,93.25%,7949,1.33%,25185,4.22%,173802,29.16%,09
Ghazipur (64),476147,27062,5.68%,5054,1.06%,427405,89.76%,7345,1.54%,36341,7.63%,136296,28.62%,09
Chandauli (65),265851,11078,4.17%,1369,0.51%,235293,88.51%,3812,1.43%,25377,9.55%,53432,20.1%,09
Varanasi (66),343657,37408,10.89%,1225,0.36%,308410,89.74%,5015,1.46%,29007,8.44%,109607,31.89%,09
Sant Ravidas Nagar (Bhadohi) (67),191630,11831,6.17%,612,0.32%,168197,87.77%,3881,2.03%,18940,9.88%,45272,23.62%,09
Mirzapur (68),340748,20503,6.02%,2096,0.62%,294706,86.49%,4534,1.33%,39409,11.57%,75727,22.22%,09
